Ticker,Company
ANZMOT.AX,Australia And New Zealand Banking Group Limited
ANZMOU.AX,ANZMOU
ANZPD.AX,Australia And New Zealand Banking Group Limited
ANZPE.AX,Australia And New Zealand Banking Group Limited
ANZPF.AX,Australia And New Zealand Banking Group Limited
ANZPG.AX,Australia And New Zealand Banking Group Limited
ANZPH.AX,Australia And New Zealand Banking Group Limited
ANZPI.AX,ANZPI
AO1.AX,Assetowl Limited
AOA.AX,
AOF.AX,AMP Office Trust
AON.AX,Apollo Minerals Ltd
AOP.AX,Apollo Life Sciences Ltd
AOU.AX,Auroch Minerals Nl
APA.AX,Australian Pipeline Trust
APAKOA.AX,Apa Group
APAKOE.AX,APAKOE
APAKOQ.AX,Apa Group
APAKOR.AX,Apa Group
APC.AX,Australian Potash Limited
APE.AX,AP Eagers Holdings Ltd
APG.AX,Austpac Gold Resources NL
APH.AX,Ascent Pharmahealth Ltd
API.AX,Australian Pharmaceutical Ind Ltd
APL.AX,Australian Plantation Timber Ltd
APT.AX,Afterpay Touch Group Limited
APTKOA.AX,Afterpay Touch Group Limited
APTKOC.AX,Afterpay Touch Group Limited
APTKOD.AX,Afterpay Touch Group Limited
APTKOE.AX,Afterpay Touch Group Limited
APTKOF.AX,Afterpay Touch Group Limited
APTKOQ.AX,Afterpay Touch Group Limited
APTKOR.AX,Afterpay Touch Group Limited
APTKOU.AX,Afterpay Touch Group Limited
APTKOV.AX,Afterpay Touch Group Limited
APV.AX,Access Providers Ltd
APW.AX,Aims Property Securities Fund
APX.AX,Appen Limited
APXKOA.AX,Appen Limited
APXKOC.AX,Appen Limited
APXKOE.AX,Appen Limited
APXKOF.AX,Appen Limited
APZ.AX,Aspen Group
AQC.AX,Australian Pacific Coal Limited
AQD.AX,AusQuest Ltd
AQDOC.AX,Ausquest Limited
AQI.AX,Alicanto Minerals Limited
AQN.AX,Aquirian Limited
AQR.AX,Aussie Q Resources Ltd
AQS.AX,Aquis Entertainment Limited
AQX.AX,Alice Queen Limited
AQZ.AX,Alliance Aviation Services Limited
AR3.AX,Australian Rare Earths Limited
AR9.AX,Archtis Limited
ARA.AX,Ariadne Australia Ltd
ARB.AX,Arb Corporation Limited.
ARBKOA.AX,Arb Corporation Limited.
ARBKOB.AX,Arb Corporation Limited.
ARBKOC.AX,ARBKOC
ARBKOD.AX,ARBKOD
ARC.AX,Amalg Resources Nl
ARD.AX,Argent Minerials Lts
ARDOA.AX,Argent Minerals Limited
ARE.AX,Argonaut Resources NL
ARF.AX,Arena Reit
ARG.AX,Argo Investments Ltd
ARL.AX,Austrim
ARN.AX,Arnotts Ltd t/over Campbell Soup Co
ARNO.AX,ARNO
ARO.AX,Astro Diamond Mines NL
ARR.AX,Arasor International Ltd
ART.AX,Amp Shopping Centre ord unit
ARU.AX,Arafura Resources NL
ARV.AX,Artemis Resources Ltd
ARX.AX,Austindo Resources Corporation NL
AS1.AX,Angel Seafood Holdings Ltd
AS2.AX,Askari Metals Limited
ASB.AX,Austal Ltd
ASG.AX,Autosports Group Limited.
ASH.AX,Ashley Services Group Limited
ASIA.AX,Betashares Asia Technology Tigers
ASM.AX,Australian Strategic Materials Limited
ASN.AX,Anson Resources Limited
ASNOC.AX,ASNOC
ASO.AX,Australian Silicon Ltd
ASP.AX,Aspermont Ltd
ASQ.AX,Asset Loans Ltd
AST.AX,Ausnet Services
ASTKOA.AX,Ausnet Services Limited
ASTKOB.AX,Ausnet Services Limited
ASW.AX,Advanced Share Registry Ltd
ASX.AX,Australian Stock Exchange Ltd
ASXKOB.AX,Asx Limited
ASXKOC.AX,Asx Limited
ASXKOE.AX,Asx Limited
ASXKOR.AX,Asx Limited
AT1.AX,Atomo Diagnostics Limited
ATC.AX,Advantage Telecommunications Ltd
ATCOB.AX,ATCOB
ATEC.AX,ATEC
ATH.AX,Atech Holdings Ltd
ATL.AX,Auto Enterprises Ltd
ATM.AX,Aneka Tambang (Persero) Tbk (Indo)
ATP.AX,Atlas Pacific Ltd
ATR.AX,Astron Ltd
ATS.AX,Australis Oil & Gas Limited
ATU.AX,Atrum Coal Nl
ATX.AX,Austminex Ltd
AU1.AX,Ausnet Financial Services Limited
AUA.AX,Australian Assets Corporation
AUB.AX,Austbrokers Holdings Ltd
AUC.AX,Ausgold Limited
AUDS.AX,Betashares Strong Australian Dollar
AUH.AX,Australian Healthcare Technology Ltd
AUI.AX,Australian United Investment Ltd
AUK.AX,Augur Resources Ltd
AUKO.AX,Augur Resources Ltd
AUMF.AX,Ishares Edge Msci Australia Multifactor Etf
AUN.AX,Austar United Communications Ltd
AUP.AX,Aurora Property Income Trust
AUQ.AX,Alara Uranium Ltd
AUR.AX,Auris Minerals Limited
AUST.AX,Betashares Managed Risk Australian Share Fund (man
AUT.AX,Aurora Oil & Gas Ltd
AUZ.AX,Australian Mines Ltd
AV1.AX,Adveritas Limited
AV1O.AX,Adveritas Limited
AVA.AX,Aviva Corporation Ltd
AVC.AX,Australian Visual Communications
AVE.AX,Aevum Ltd
AVEO.AX,AVEO
AVG.AX,Australian Vintage Ltd t/over by SWS
AVH.AX,Avita Medical Ltd
AVJ.AX,AV Jennings Homes Ltd
AVL.AX,Anvil Mining Nl
AVLOA.AX,AVLOA
AVN.AX,Avon Resources Ltd
AVR.AX,Avatar Industries Ltd
AVRO.AX,AVRO
AVW.AX,Avira Energy Limited
AVWO.AX,AVWO
AVZ.AX,Avonlea Minerals Ltd
AWC.AX,Alumina Ltd
AWCKOA.AX,Alumina Limited
AWCKOB.AX,Alumina Limited
AWCKOC.AX,Alumina Limited
AWCKOD.AX,Alumina Limited
AWCKOJ.AX,Alumina Limited
AWCKOP.AX,Alumina Limited
AWCKOQ.AX,Alumina Limited
AWCKOR.AX,Alumina Limited
AWCKOT.AX,Alumina Limited
AWCKOU.AX,Alumina Limited
AWCKOX.AX,Alumina Limited
AWJ.AX,Auric Mining Limited
AWJO.AX,AWJO
AWN.AX,Arowana International Limited
AWV.AX,Anova Metals Limited
AX1.AX,Accent Group Limited
AX8.AX,Accelerate Resources Limited
AXE.AX,Archer Exploration Ltd
AXI.AX,Axiom Properties Ltd
AXP.AX,Airxpanders Inc
AYI.AX,A1 Investments & Resources Ltd
AYM.AX,Altius Mining Limited
AYUHC.AX,Australian Unity Limited
AYUHD.AX,Australian Unity Limited
AYUPA.AX,AYUPA
AZI.AX,Alta Zinc Limited
AZIO.AX,AZIO
AZJ.AX,Aurizon Holdings Limited
AZJKOA.AX,Aurizon Holdings Limited
AZJKOB.AX,Aurizon Holdings Limited
AZJKOC.AX,Aurizon Holdings Limited
AZJKOP.AX,Aurizon Holdings Limited
AZJKOQ.AX,Aurizon Holdings Limited
AZJKOS.AX,Aurizon Holdings Limited
AZJKOT.AX,Aurizon Holdings Limited
AZL.AX,Anzoil Nl
AZS.AX,Azure Minerals Ltd
AZY.AX,Antipa Minerals Limited
BAP.AX,Burson Group Limited
BAPKOA.AX,Bapcor Limited
BAPKOB.AX,Bapcor Limited
BAPKOR.AX,Bapcor Limited
BAR.AX,Barra Resources ltd
BAS.AX,Bass Strait Oil Company Ltd
BASO.AX,Bass Strait Oil Company Limited
BAT.AX,Battery Minerals Limited
BATO.AX,Battery Minerals Limited
BBC.AX,Babcock & Brown Communities Group
BBL.AX,Brisbane Broncos Ltd
BBN.AX,Baby Bunting Group Limited
BBOZ.AX,Betashares Australian Equities Strong Bear Hedge F
BBT.AX,Bluebet Holdings Ltd
BBUS.AX,Betashares U.s. Equities Strong Bear Fund
BBX.AX,BBX Holdings Ltd
BC8.AX,Black Cat Syndicate Limited
BCA.AX,Baycorp Advantage Ltd
BCB.AX,Bowen Coking Coal Limited
BCC.AX,Buccaneer Energy Ltd
BCI.AX,BC Iron Ltd
BCK.AX,Brockman Mining Limited
BCN.AX,Beacon Minerals Ltd
BCNOB.AX,Beacon Minerals Limited
BCT.AX,Bluechiip Limited
BD1.AX,Bard1 Life Sciences Limited
BD1O.AX,BD1O
BDA.AX,Bod Australia Limited
BDC.AX,Bardoc Gold Limited
BDG.AX,Bendigo Mining Ltd
BDM.AX,Biodiem Ltd
BDX.AX,Bcal Diagnostics Limited
BEAR.AX,Betashares Australian Equities Bear Hedge Fund
BEE.AX,Broo Ltd
BEEO.AX,BEEO
BEL.AX,Bentley International Ltd
BEM.AX,Blackearth Minerals Nl
BEN.AX,Bendigo Bank Ltd
BENHB.AX,Bendigo And Adelaide Bank Limited
BENKOA.AX,Bendigo And Adelaide Bank Limited
BENKOC.AX,Bendigo And Adelaide Bank Limited
BENKOD.AX,Bendigo And Adelaide Bank Limited
BENKOP.AX,Bendigo And Adelaide Bank Limited
BENKOQ.AX,Bendigo And Adelaide Bank Limited
BENKOT.AX,Bendigo And Adelaide Bank Limited
BENPG.AX,Bendigo And Adelaide Bank Limited
BENPH.AX,BENPH
BET.AX,Belmont Holdings Ltd
BEX.AX,Bikeexchange Limited
BEZ.AX,Besra Gold Inc
BFC.AX,Beston Global Food Company Limited
BFG.AX,Bell Financial Group Ltd
BFL.AX,Bsp Financial Group Limited
BGA.AX,Bega Cheese Limited
BGD.AX,Boulder Steel Ltd
BGL.AX,Bigair Group Ltd
BGP.AX,Briscoe Group Australasia Limited
BGT.AX,Bio-gene Technology Ltd
BHD.AX,Benjamin Hornigold Limited
BHL.AX,Bidvest Plc
BHP.AX,BHP Billiton Ltd
BHPKOA.AX,Bhp Billiton Limited
BHPKOB.AX,Bhp Billiton Limited
BHPKOC.AX,Bhp Billiton Limited
BHPKOE.AX,Bhp Billiton Limited
BHPKOF.AX,Bhp Billiton Limited
BHPKOG.AX,Bhp Billiton Limited
BHPKOH.AX,Bhp Billiton Limited
BHPKOJ.AX,Bhp Billiton Limited
BHPKOM.AX,Bhp Billiton Limited
BHPKOO.AX,Bhp Billiton Limited
BHPKOP.AX,Bhp Billiton Limited
BHPKOS.AX,Bhp Billiton Limited
BHPKOT.AX,Bhp Billiton Limited
BHPKOU.AX,Bhp Billiton Limited
BHPKOV.AX,Bhp Billiton Limited
BHPKOW.AX,Bhp Billiton Limited
BHPKOZ.AX,Bhp Billiton Limited
BHPLOB.AX,Bhp Billiton Limited
BHPLOE.AX,Bhp Billiton Limited
BHPLOH.AX,Bhp Billiton Limited
BHPLOQ.AX,Bhp Billiton Limited
BHPLOS.AX,Bhp Billiton Limited
BHPLOT.AX,Bhp Billiton Limited
BHPLOV.AX,Bhp Billiton Limited
BHPLOW.AX,Bhp Billiton Limited
BHPLOX.AX,Bhp Billiton Limited
BHPLOY.AX,Bhp Billiton Limited
BHPMOP.AX,Bhp Billiton Limited
BHYB.AX,BHYB
BID.AX,Bidenergy Limited
BILL.AX,Ishares Core Cash
BIQ.AX,Buildingiq Inc
BIR.AX,Burswood
BIS.AX,
BIT.AX,Biotron Ltd
BKG.AX,Buka Gold Ltd
BKI.AX,Brickworks Investment Company Ltd
BKL.AX,Blackmores Laboratories Ltd
BKLKOB.AX,Blackmores Limited
BKLKOD.AX,Blackmores Limited
BKLKOE.AX,Blackmores Limited
BKLKOP.AX,Blackmores Limited
BKLKOQ.AX,Blackmores Limited
BKT.AX,Black Rock Mining Limited
BKW.AX,Brickworks Ltd
BKWKOA.AX,Brickworks Limited
BKWKOB.AX,Brickworks Limited
BKWKOD.AX,BKWKOD
BKY.AX,Berkeley Resources Ltd
BLD.AX,Boral Ltd
BLDKOA.AX,Boral Limited.
BLDKOB.AX,Boral Limited.
BLDKOD.AX,Boral Limited.
BLDKOR.AX,Boral Limited.
BLG.AX,Blugass Ltd
BLU.AX,Bluefreeway Ltd
BLX.AX,Beacon Lighting Group Limited
BLY.AX,Boart Longyear Ltd
BLYO.AX,Boart Longyear Limited
BLZ.AX,Blaze International Ltd
BLZO.AX,BLZO
BMG.AX,Brazilian Metals Group Limited.
BMH.AX,Baumart Holdings Limited
BML.AX,Bank of Melbourne merger WBC
BMM.AX,Bellamel Mining Ltd
BMN.AX,Bannerman Resources Ltd
BMO.AX,BMA Gold Ltd
BMR.AX,Balmoral Corporation
BMT.AX,Berkut Minerals Limited
BNKS.AX,Betashares Global Banks Etf - Currency Hedged
BNL.AX,Balkans Gold Ltd
BNO.AX,Bionomics Ltd
BNR.AX,Bulletin Resources Limited
BNRO.AX,BNRO
BNZ.AX,Benz Mining Corp.
BOA.AX,Boadicea Resources Limited
BOAOA.AX,BOAOA
BOC.AX,Bougainville Copper Ltd (PNG)
BOE.AX,Boss Energy Ltd
BOL.AX,Boom Logistics Ltd
BOND.AX,Spdr S&p/asx Australian Bond Fund
BOQ.AX,Bank of Queensland Ltd
BOQKOA.AX,Bank Of Queensland Limited.
BOQKOB.AX,Bank Of Queensland Limited.
BOQKOE.AX,Bank Of Queensland Limited.
BOQKOP.AX,Bank Of Queensland Limited.
BOQKOR.AX,Bank Of Queensland Limited.
BOQKOS.AX,Bank Of Queensland Limited.
BOQPE.AX,Bank Of Queensland Limited.
BOQPF.AX,BOQPF
BOT.AX,Botanix Pharmaceuticals Ltd
BPH.AX,BioPharmica Ltd
BPHOA.AX,BPHOA
BPM.AX,Bpm Minerals Limited
BPMO.AX,BPMO
BPP.AX,Babylon Pump & Power Limited
BPT.AX,Beach Petroleum Ltd
BPTKOA.AX,Beach Energy Limited
BPTKOD.AX,Beach Energy Limited
BPTKOE.AX,Beach Energy Limited
BPTKOP.AX,Beach Energy Limited
BPTKOR.AX,Beach Energy Limited
BPTKOS.AX,Beach Energy Limited
BRB.AX,Breaker Resources Nl
BRG.AX,Breville Group Ltd
BRGKOA.AX,Breville Group Limited
BRGKOB.AX,Breville Group Limited
BRGKOD.AX,Breville Group Limited
BRI.AX,Breakwater Island Trust
BRK.AX,BreakFree Ltd
BRKOB.AX,BRKOB
BRL.AX,Brl Hardy
BRN.AX,Brainchip Holdings Ltd
BRU.AX,Buru Energy Ltd
BRV.AX,Big River Gold Ltd
BRVO.AX,Big River Gold Ltd
BSA.AX,Broadcast Services Australia Ltd
BSE.AX,BSE
BSL.AX,BlueScope Steel Ltd
BSLKOA.AX,Bluescope Steel Limited
BSLKOD.AX,Bluescope Steel Limited
BSLKOE.AX,Bluescope Steel Limited
BSLKOR.AX,Bluescope Steel Limited
BSLKOU.AX,Bluescope Steel Limited
BSR.AX,Bassari Resources Ltd
BST.AX,Barrack St Investments Limited
BSX.AX,Blackstone Minerals Limited
BTC.AX,BioTech Capital Ltd
BTH.AX,Bigtincan Holdings Limited
BTI.AX,Bailador Technology Investments Limited
BTN.AX,Brighton Mining Group Limited
BTR.AX,Blackthorn Resources Ltd
BUB.AX,Bubs Australia Limited
BUD.AX,Buddy Platform Ltd
BUDOA.AX,BUDOA
BUR.AX,Burleson Energy Ltd
BUX.AX,Buxton Resources Ltd
BUY.AX,Bounty Oil & Gas NL
BVS.AX,Bravura Solutions Limited.
BVSKOA.AX,Bravura Solutions Limited.
BVSKOG.AX,BVSKOG
BWF.AX,Blackwall Property Funds Limited
BWP.AX,Bunnings Warehouse Property Trust
BWX.AX,Bwx Limited
BXB.AX,Brambles Ltd
BXBKOA.AX,Brambles Limited
BXBKOB.AX,Brambles Limited
BXBKOC.AX,Brambles Limited
BXBKOE.AX,Brambles Limited
BXBKOP.AX,Brambles Limited
BXBKOS.AX,Brambles Limited
BXN.AX,Bioxyne Limited
BYE.AX,Byron Energy Limited
BYH.AX,Bryah Resources Limited
BYHOA.AX,BYHOA
BYI.AX,Beyond International Ltd
C2FHA.AX,C2FHA
C6C.AX,Copper Mountain Mining Corporation
CAA.AX,Capral Aluminium Ltd
CAD.AX,Caeneus Minerals Ltd
CADOA.AX,CADOA
CAE.AX,Cannindah Resources Limited
CAF.AX,Centrepoint Alliance Ltd
CAG.AX,Cape Range Wireless Ltd
CAI.AX,Casinos Austria International
CAJ.AX,Capitol Health Ltd
CAM.AX,Clime Capital Ltd
CAMG.AX,Clime Capital Limited
CAN.AX,Cann Group Limited
CAQ.AX,Cell Aquaculture Ltd
CAR.AX,Carsales.com Limited.
CARKOA.AX,Carsales.com Limited.
CARKOB.AX,Carsales.com Limited.
CARKOP.AX,Carsales.com Limited.
CARKOQ.AX,Carsales.com Limited.
CAT.AX,Catuity Inc (USA)
CAU.AX,CollTech Australia Ltd
CAV.AX,Carnavale Resources Ltd
CAY.AX,Canyon Resources Ltd
CAZ.AX,Cazaly Resources Ltd
CBA.AX,Commonwealth Bank Ltd
CBAKOA.AX,Commonwealth Bank Of Australia.
CBAKOC.AX,Commonwealth Bank Of Australia.
CBAKOD.AX,Commonwealth Bank Of Australia.
CBAKOF.AX,Commonwealth Bank Of Australia.
CBAKOG.AX,Commonwealth Bank Of Australia.
CBAKOQ.AX,Commonwealth Bank Of Australia.
CBAKOS.AX,Commonwealth Bank Of Australia.
CBAKOT.AX,Commonwealth Bank Of Australia.
CBAKOU.AX,Commonwealth Bank Of Australia.
CBAKOV.AX,Commonwealth Bank Of Australia.
CBAKOW.AX,Commonwealth Bank Of Australia.
CBAKOX.AX,Commonwealth Bank Of Australia.
CBALOR.AX,Commonwealth Bank Of Australia.
CBALOS.AX,Commonwealth Bank Of Australia.
CBALOU.AX,Commonwealth Bank Of Australia.
CBALOX.AX,Commonwealth Bank Of Australia.
CBALOY.AX,Commonwealth Bank Of Australia.
CBAMOA.AX,Commonwealth Bank Of Australia.
CBAMOB.AX,Commonwealth Bank Of Australia.
CBAMOC.AX,Commonwealth Bank Of Australia.
CBAMOE.AX,Commonwealth Bank Of Australia.
CBAPD.AX,Commonwealth Bank Of Australia.
CBAPE.AX,Commonwealth Bank Of Australia.
CBAPF.AX,Commonwealth Bank Of Australia.
CBAPG.AX,Commonwealth Bank Of Australia.
CBAPH.AX,Commonwealth Bank Of Australia.
CBAPI.AX,Commonwealth Bank Of Australia.
CBAPJ.AX,CBAPJ
CBE.AX,Cobre Limited
CBL.AX,Cbl Corporation Limited
CBO.AX,Cobra Resources Nl
CBR.AX,Constellation Brands Inc (US nCHESS)
CBY.AX,Canterbury Resources Limited
CCA.AX,Chimpchange Limited
CCE.AX,Clinical Cell Culture Ltd
CCG.AX,Commschoice Group Limited
