Symbol,Company,Sector
KWR.AX,Kingwest Resources Ltd,Materials
KYK.AX,KYCKR Ltd,Information Technology
KZA.AX,KAZIA Therapeutics Ltd,Health Care
KZR.AX,Kalamazoo Resources Ltd,Materials
LAA.AX,Latam Autos Ltd,Communication Services
LAM.AX,Laramide Resources Ltd,Energy
LAU.AX,Lindsay Australia Ltd,Industrials
LAW.AX,Lawfinance Ltd,Financials
LBL.AX,Laserbond Ltd,Industrials
LBT.AX,LBT Innovations Ltd,Health Care
LCD.AX,Latitude Consolidated Ltd,Materials
LCE.AX,London City Equities Ltd,Financials
LCK.AX,Leigh Creek Energy Ltd,Energy
LCL.AX,Los Cerros Ltd,Materials
LCM.AX,Logicamms Ltd,Industrials
LCT.AX,Living Cell Technologies Ltd,Health Care
LCY.AX,Legacy Iron Ore Ltd,Materials
LEG.AX,Legend Mining Ltd,Materials
LEP.AX,Ale Property Group,Real Estate
LER.AX,Leaf Resources Ltd,Materials
LEX.AX,Lefroy Exploration Ltd,Materials
LGP.AX,Little Green Pharma Ltd,Health Care
LGR.AX,Lanka Graphite Ltd,Materials
LHB.AX,Lionhub Group Ltd,Real Estate
LHM.AX,Land & Homes Group Ltd,Real Estate
LI3.AX,Lithium Consolidated Ltd,Materials
LIC.AX,Lifestyle Communities Ltd,Real Estate
LIN.AX,Lindian Resources Ltd,Materials
LIO.AX,Lion Energy Ltd,Energy
LIT.AX,Lithium Australia NL,Materials
LKE.AX,Lake Resources N.L.,Materials
LKO.AX,Lakes Oil NL,Energy
LLC.AX,Lendlease Group,Real Estate
LLO.AX,Lion One Metals Ltd,Materials
LME.AX,"Limeade, Inc",Information Technology
LMG.AX,Latrobe Magnesium Ltd,Materials
LML.AX,Lincoln Minerals Ltd,Materials
LNG.AX,Liquefied Natural Gas Ltd,Energy
LNK.AX,Link Administration Holdings Ltd,Information Technology
LNU.AX,Linius Technologies Ltd,Information Technology
LNY.AX,Laneway Resources Ltd,Materials
LOM.AX,Lucapa Diamond Company Ltd,Materials
LON.AX,Longtable Group Ltd,Consumer Staples
LOT.AX,Lotus Resources Ltd,Materials
LOV.AX,Lovisa Holdings Ltd,Consumer Discretionary
LPD.AX,Lepidico Ltd,Materials
LPDRC.AX,Lepidico Ltd,
LPE.AX,Locality Planning Energy Holdings Ltd,Utilities
LPI.AX,Lithium Power International Ltd,Materials
LRM.AX,Lustrum Minerals Ltd,Energy
LRS.AX,Latin Resources Ltd,Materials
LRT.AX,Lowell Resources Fund,
LSA.AX,Lachlan Star Ltd,Materials
LSF.AX,L1 Long Short Fund Ltd,
LSH.AX,Lifespot Health Ltd,Health Care
LSR.AX,Lodestar Minerals Ltd,Materials
LSX.AX,Lion Selection Group Ltd,
LTR.AX,Liontown Resources Ltd,Materials
LVE.AX,Love Group Global Ltd,Information Technology
LVH.AX,Livehire Ltd,Information Technology
LVT.AX,Livetiles Ltd,Information Technology
LYC.AX,Lynas Corporation Ltd,Materials
LYL.AX,Lycopodium Ltd,Industrials
M7T.AX,MACH7 Technologies Ltd,Health Care
M8S.AX,M8 Sustainable Ltd,Industrials
MA1.AX,Monash Absolute Investment Company Ltd,
MAD.AX,Mader Group Ltd,Industrials
MAG.AX,Magmatic Resources Ltd,Materials
MAH.AX,Macmahon Holdings Ltd,Materials
MAI.AX,Mainstream Group Holdings Ltd,Financials
MAM.AX,Microequities Asset Management Group Ltd,Financials
MAN.AX,Mandrake Resources Ltd,Materials
MAQ.AX,Macquarie Telecom Group Ltd,
MAT.AX,Matsa Resources Ltd,Materials
MAU.AX,Magnetic Resources NL,Materials
MAUCA.AX,Magnetic Resources NL,
MAX.AX,Millinium's Alternatives Fund,
MAY.AX,Melbana Energy Ltd,Energy
MBK.AX,Metal Bank Ltd,Materials
MBM.AX,Mobecom Ltd,Information Technology
MCA.AX,Murray Cod Australia Ltd,Consumer Staples
MCB.AX,MCB Resources Ltd,Energy
MCE.AX,Matrix Composites & Engineering Ltd,Energy
MCM.AX,MC Mining Ltd,Energy
MCP.AX,Mcpherson's Ltd,Consumer Staples
MCR.AX,Mincor Resources NL,Materials
MCT.AX,Metalicity Ltd,Materials
MCX.AX,Mariner Corporation Ltd,Financials
MCY.AX,Mercury NZ Ltd,Utilities
MDC.AX,Medlab Clinical Ltd,Health Care
MDI.AX,Middle Island Resources Ltd,Materials
MDR.AX,Medadvisor Ltd,Health Care
MDX.AX,Mindax Ltd,Materials
MEA.AX,Mcgrath Ltd,Real Estate
MEB.AX,Medibio Ltd,Health Care
MEC.AX,Morphic Ethical Equities Fund Ltd,Financials
MEI.AX,Meteoric Resources NL,Materials
MEL.AX,Metgasco Ltd,Energy
MEM.AX,Memphasys Ltd,Health Care
MEP.AX,Minotaur Exploration Ltd,Materials
MEQ.AX,Metlifecare Limited Foreign Exempt NZX,Health Care
MEU.AX,Marmota Ltd,Energy
MEY.AX,Marenica Energy Ltd,Energy
MEZ.AX,Meridian Energy Ltd,Utilities
MFD.AX,Mayfield Childcare Ltd,Consumer Discretionary
MFF.AX,MFF Capital Investments Ltd,
MFG.AX,Magellan Financial Group Ltd,Financials
MGC.AX,MG Unit Trust,
MGE.AX,Magellan Global Equities Fund (Managed Fund),
MGG.AX,Magellan Global Trust,
MGL.AX,Magontec Ltd,Materials
MGR.AX,Mirvac Group,Real Estate
MGT.AX,Magnetite Mines Ltd,Materials
MGU.AX,Magnum Mining and Exploration Ltd,Materials
MGV.AX,Musgrave Minerals Ltd,Materials
MGX.AX,Mount Gibson Iron Ltd,Materials
MGZ.AX,Medigard Ltd,Health Care
MHC.AX,Manhattan Corporation Ltd,Energy
MHD.AX,Millennium Ltd,Consumer Discretionary
MHG.AX,Magellan Global Equities Fund(Currency Hedged)(MF),
MHH.AX,Magellan High Conviction Trust,
MHI.AX,Merchant House International Ltd,Consumer Discretionary
MHJ.AX,Michael Hill International Ltd,Consumer Discretionary
MICH.AX,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund),
MIH.AX,MNC Media Investment Ltd,Communication Services
MIL.AX,Millennium Services Group Ltd,Industrials
MIN.AX,Mineral Resources Ltd,Materials
MIO.AX,Macarthur Minerals Ltd,Materials
MIR.AX,Mirrabooka Investments Ltd,
MJC.AX,Mejority Capital Ltd,Financials
MKG.AX,Mako Gold Ltd,Materials
MLD.AX,Maca Ltd,Materials
MLL.AX,Mali Lithium Ltd,Materials
MLM.AX,Metallica Minerals Ltd,Materials
MLS.AX,Metals Australia Ltd,Materials
MLT.AX,Milton Corporation Ltd,
MLX.AX,Metals X Ltd,Materials
MME.AX,Moneyme Ltd,Financials
MMI.AX,Metro Mining Ltd,Materials
MMJ.AX,MMJ Group Holdings Ltd,
MML.AX,Medusa Mining Ltd,Materials
MMM.AX,Marley Spoon AG,Consumer Discretionary
MMR.AX,Mec Resources Ltd,Energy
MMS.AX,Mcmillan Shakespeare Ltd,Industrials
MNB.AX,Minbos Resources Ltd,Materials
MND.AX,Monadelphous Group Ltd,Industrials
MNF.AX,MNF Group Ltd,
MNRS.AX,Betashares Global Gold Miners ETF - Currency Hedged,
MNS.AX,Magnis Energy Technologies Ltd,Materials
MNW.AX,Mint Payments Ltd,Information Technology
MNY.AX,MONEY3 Corporation Ltd,Financials
MOAT.AX,Vaneck Vectors Morningstar Wide Moat ETF,
MOB.AX,Mobilicom Ltd,Information Technology
MOC.AX,Mortgage Choice Ltd,Financials
MOE.AX,Moelis Australia Ltd,Financials
MOGL.AX,Montgomery Global Equities Fund (Managed Fund),
MOH.AX,Moho Resources Ltd,Materials
MONY.AX,Ubs IQ Cash ETF,
MOQ.AX,MOQ Ltd,Information Technology
MOT.AX,MCP Income Opportunities Trust,
MOY.AX,Millennium Minerals Ltd,Materials
MOZ.AX,Mosaic Brands Ltd,Consumer Discretionary
MP1.AX,Megaport Ltd,Information Technology
MPH.AX,Mediland Pharm Ltd,Consumer Discretionary
MPL.AX,Medibank Private Ltd,Financials
MPO.AX,Molopo Energy Ltd,Energy
MPP.AX,Metro Performance Glass Ltd,Industrials
MPR.AX,Mpower Group Ltd,Financials
MPW.AX,MSL Solutions Ltd,Information Technology
MPX.AX,Mustera Property Group Ltd,Real Estate
MQG.AX,Macquarie Group Ltd,Financials
MQR.AX,Marquee Resources Ltd,Materials
MRC.AX,Mineral Commodities Ltd,Materials
MRD.AX,Mount Ridley Mines Ltd,Materials
MRG.AX,Murray River Organics Group Ltd,Consumer Staples
MRL.AX,Mayur Resources Ltd,Materials
MRM.AX,Mma Offshore Ltd,Energy
MRQ.AX,MRG Metals Ltd,Materials
MRR.AX,Minrex Resources Ltd,Materials
MRV.AX,Moreton Resources Ltd,Energy
MRZ.AX,Mont Royal Resources Ltd,Materials
MSB.AX,Mesoblast Ltd,Health Care
MSE.AX,Metalsearch Ltd,Materials
MSG.AX,MCS Services Ltd,Industrials
MSI.AX,Multistack International Ltd,Industrials
MSM.AX,MSM Corporation International Ltd,Communication Services
MSR.AX,Manas Resources Ltd,Materials
MSTR.AX,Morningstar International Shares Active ETF (Managed Fund),
MSV.AX,Mitchell Services Ltd,Materials
MTB.AX,Mount Burgess Mining NL,Materials
MTC.AX,Metalstech Ltd,Materials
MTH.AX,Mithril Resources Ltd,Materials
MTL.AX,Manalto Ltd,Information Technology
MTO.AX,Motorcycle Holdings Ltd,Consumer Discretionary
MTS.AX,Metcash Ltd,Consumer Staples
MVA.AX,Vaneck Vectors Australian Property ETF,
MVB.AX,Vaneck Vectors Australian Banks ETF,
MVE.AX,Vaneck Vectors S&P/ASX Midcap ETF,
MVF.AX,Monash Ivf Group Ltd,Health Care
MVOL.AX,Ishares Edge MSCI Australia Minimum Volatility ETF,
MVP.AX,Medical Developments International Ltd,Health Care
MVR.AX,Vaneck Vectors Australian Resources ETF,
MVS.AX,Vaneck Vectors Small Companies Masters ETF,
MVW.AX,Vaneck Vectors Australian EQUAL Weight ETF,
MWR.AX,MGM Wireless Ltd,Communication Services
MWY.AX,Midway Ltd,Materials
MX1.AX,Micro-X Ltd,Health Care
MXC.AX,MGC Pharmaceuticals Ltd,Health Care
MXI.AX,Maxitrans Industries Ltd,Industrials
MXR.AX,Maximus Resources Ltd,Materials
MXT.AX,MCP Master Income Trust,
MYE.AX,Mastermyne Group Ltd,Materials
MYL.AX,Myanmar Metals Ltd,Materials
MYQ.AX,Myfiziq Ltd,Information Technology
MYR.AX,Myer Holdings Ltd,Consumer Discretionary
MYS.AX,Mystate Ltd,Financials
MYX.AX,Mayne Pharma Group Ltd,Health Care
MZI.AX,MZI Resources Ltd,Materials
MZZ.AX,Matador Mining Ltd,Materials
N1H.AX,N1 Holdings Ltd,Financials
NAB.AX,National Australia Bank Ltd,Financials
NAC.AX,Naos Ex-50 Opportunities Company Ltd,
NAE.AX,New Age Exploration Ltd,Energy
NAG.AX,Nagambie Resources Ltd,Materials
NAM.AX,Namoi Cotton Ltd,Industrials
NAN.AX,Nanosonics Ltd,Health Care
NBI.AX,NB Global Corporate Income Trust,
NC6.AX,Nanollose Ltd,Health Care
NCC.AX,Naos Emerging Opportunities Company Ltd,
NCK.AX,Nick Scali Ltd,Consumer Discretionary
NCL.AX,Netccentric Ltd,Communication Services
NCM.AX,Newcrest Mining Ltd,Materials
NCR.AX,Nucoal Resources Ltd,Materials
NCZ.AX,New Century Resources Ltd,Materials
NDIA.AX,ETFs Reliance India Nifty 50 ETF,
NDQ.AX,Betashares Nasdaq 100 ETF,
NEA.AX,Nearmap Ltd,Information Technology
NEC.AX,Nine Entertainment Co. Holdings Ltd,Communication Services
NES.AX,Nelson Resources Ltd,Materials
NET.AX,Netlinkz Ltd,Information Technology
NEU.AX,Neuren Pharmaceuticals Ltd,Health Care
NEW.AX,NEW Energy Solar,Utilities
NGE.AX,NGE Capital Ltd,
NGI.AX,Navigator Global Investments Ltd,Financials
NGY.AX,Nuenergy Gas Ltd,Energy
NHC.AX,New Hope Corporation Ltd,Energy
NHF.AX,Nib Holdings Ltd,Financials
NIC.AX,Nickel Mines Ltd,Materials
NIU.AX,Niuminco Group Ltd,Materials
NME.AX,NEX Metals Exploration Ltd,Materials
NML.AX,Navarre Minerals Ltd,Materials
NMT.AX,Neometals Ltd,Materials
NNT.AX,99 Technology Ltd,Information Technology
NOR.AX,Norwood Systems Ltd,Information Technology
NOV.AX,Novatti Group Ltd,Information Technology
NOX.AX,Noxopharm Ltd,Health Care
NSB.AX,Neuroscientific Biopharmaceuticals Ltd,Health Care
NSC.AX,Naos Small Cap Opportunities Company Ltd,
NSE.AX,New Standard Energy Ltd,Energy
NSR.AX,National Storage REIT,Real Estate
NST.AX,Northern Star Resources Ltd,Materials
NSX.AX,NSX Ltd,Financials
NTD.AX,National Tyre & Wheel Ltd,Consumer Discretionary
NTI.AX,Neurotech International Ltd,Health Care
NTL.AX,New Talisman Gold Mines Ltd,Materials
NTM.AX,NTM Gold Ltd,Materials
NTO.AX,Nitro Software Ltd,Information Technology
NTU.AX,Northern Minerals Ltd,Materials
NUC.AX,Nuchev Ltd,Consumer Staples
NUF.AX,Nufarm Ltd,Materials
NUH.AX,Nuheara Ltd,Information Technology
NUS.AX,Nusantara Resources Ltd,Materials
NVA.AX,Nova Minerals Ltd,Materials
NVO.AX,Nvoi Ltd,Communication Services
NVU.AX,Nanoveu Ltd,Information Technology
NVX.AX,Novonix Ltd,Information Technology
NWC.AX,New World Resources Ltd,Materials
NWE.AX,Norwest Energy NL,Energy
NWF.AX,Newfield Resources Ltd,Materials
NWH.AX,NRW Holdings Ltd,Industrials
NWL.AX,Netwealth Group Ltd,Financials
NWM.AX,Norwest Minerals Ltd,Materials
NWS.AX,News Corporation,Communication Services
NWSLV.AX,News Corporation,Consumer Discretionary
NXE.AX,New Energy Minerals Ltd,Materials
NXM.AX,Nexus Minerals Ltd,Materials
NXS.AX,Next Science Ltd,Health Care
NXT.AX,NEXTDC Ltd,Information Technology
NYR.AX,Nyrada Inc,Health Care
NZK.AX,New Zealand King Salmon Investments Ltd,Consumer Staples
NZM.AX,NZME Ltd,Communication Services
NZS.AX,New Zealand Coastal Seafoods Ltd,Consumer Staples
OAR.AX,Oakdale Resources Ltd,Materials
OAU.AX,Ora Gold Ltd,Materials
OBJ.AX,OBJ Limited,Health Care
OBL.AX,Omni Bridgeway Ltd,Financials
OBM.AX,Ora Banda Mining Ltd,Materials
OCA.AX,Oceania Healthcare Ltd,Health Care
OCC.AX,Orthocell Ltd,Health Care
OCL.AX,Objective Corporation Ltd,Information Technology
ODA.AX,Orcoda Ltd,Information Technology
ODM.AX,Odin Metals Ltd,Materials
ODY.AX,Odyssey Energy Ltd,Energy
OEC.AX,Orbital Corporation Ltd,Industrials
OEL.AX,Otto Energy Ltd,Energy
OEQ.AX,Orion Equities Ltd,Financials
OEX.AX,OILEX Ltd,Energy
OFX.AX,OFX Group Ltd,Financials
OGA.AX,Ocean Grown Abalone Ltd,Consumer Staples
OGC.AX,Oceanagold Corporation,Materials
OGX.AX,Orinoco Gold Ltd,Materials
OIL.AX,Optiscan Imaging Ltd,Health Care
OKJ.AX,Oakajee Corporation Ltd,Materials
OKR.AX,Okapi Resources Ltd,Materials
OKU.AX,Oklo Resources Ltd,Materials
OLH.AX,Oldfields Holdings Ltd,Industrials
OLI.AX,Oliver's Real Food Ltd,Consumer Discretionary
OLL.AX,Openlearning Ltd,Information Technology
OLV.AX,Otherlevels Holdings Ltd,Information Technology
OMH.AX,Om Holdings Ltd,Materials
OML.AX,Ooh!Media Ltd,Communication Services
ONE.AX,Oneview Healthcare Plc,Health Care
ONT.AX,1300 Smiles Ltd,Health Care
ONX.AX,Orminex Ltd,Materials
OOK.AX,Ookami Ltd,Information Technology
OOO.AX,Betashares Crude Oil INDEX ETF-Currency Hedged (Synthetic),
OPC.AX,Opticomm Ltd,
OPH.AX,Ophir High Conviction Fund,
OPL.AX,Opyl Ltd,Information Technology
OPT.AX,Opthea Ltd,Health Care
OPY.AX,Openpay Group Ltd,Financials
ORA.AX,Orora Ltd,Materials
ORE.AX,Orocobre Ltd,Materials
ORG.AX,Origin Energy Ltd,Energy
ORI.AX,Orica Ltd,Materials
ORM.AX,Orion Metals Ltd,Materials
ORN.AX,Orion Minerals Ltd,Materials
ORR.AX,Orecorp Ltd,Materials
OSH.AX,Oil Search Ltd,Energy
OSL.AX,Oncosil Medical Ltd,Health Care
OSP.AX,Osprey Medical Inc,Health Care
OSX.AX,Osteopore Ltd,Health Care
OTW.AX,Over the Wire Holdings Ltd,Information Technology
OVH.AX,Onevue Holdings Ltd,Financials
OVN.AX,Oventus Medical Ltd,Health Care
OVT.AX,Ovato Ltd,Industrials
OXX.AX,Octanex Ltd,Energy
OZF.AX,SPDR S&P/ASX 200 Financials Ex A-REIT Fund,
OZG.AX,Ozgrowth Ltd,
OZL.AX,OZ Minerals Ltd,Materials
OZR.AX,SPDR S&P/ASX 200 Resources Fund,
P2P.AX,P2P Transport Ltd,Industrials
PAA.AX,Pharmaust Ltd,Health Care
PAB.AX,PATRYS Ltd,Health Care
PAC.AX,Pacific Current Group Ltd,Financials
PAF.AX,PM Capital Asian Opportunities Fund Ltd,
PAI.AX,Platinum Asia Investments Ltd,
PAK.AX,Pacific American Holdings Ltd,Materials
PAL.AX,Palla Pharma Ltd,Health Care
PAN.AX,Panoramic Resources Ltd,Materials
PAR.AX,Paradigm Biopharmaceuticals Ltd,Health Care
PAXX.AX,Platinum Asia Fund (Quoted Managed Hedge Fund),
PBH.AX,Pointsbet Holdings Ltd,Consumer Discretionary
PBP.AX,Probiotec Ltd,Health Care
PBX.AX,Pacific Bauxite Ltd,Materials
PCG.AX,Pengana Capital Group Ltd,Financials
PCH.AX,Property Connect Holdings Ltd,Communication Services
PCI.AX,Perpetual Credit Income Trust,
PCK.AX,Painchek Ltd,Health Care
PCL.AX,Pancontinental Oil & Gas NL,Energy
PDI.AX,Predictive Discovery Ltd,Materials
PDL.AX,Pendal Group Ltd,Financials
PDN.AX,Paladin Energy Ltd,Energy
PDZ.AX,Prairie Mining Ltd,Materials
PE1.AX,Pengana Private Equity Trust,
PEC.AX,Perpetual Resources Ltd,Materials
PEK.AX,Peak Resources Ltd,Materials
PEL.AX,Pelican Resources Ltd,Materials
PEN.AX,Peninsula Energy Ltd,Energy
PET.AX,Phoslock Environmental Technologies Ltd,Industrials
PEX.AX,Peel Mining Ltd,Materials
PFG.AX,Prime Financial Group Ltd,Financials
PFP.AX,Propel Funeral Partners Ltd,Consumer Discretionary
PG1.AX,Pearl Global Ltd,Industrials
PGC.AX,Paragon Care Ltd,Health Care
PGF.AX,PM Capital Global Opportunities Fund Ltd,
PGG.AX,Partners Group Global Income Fund,
PGH.AX,Pact Group Holdings Ltd,Materials
PGI.AX,Panterra Gold Ltd,Materials
PGL.AX,Prospa Group Ltd,Financials
PGM.AX,Platina Resources Ltd,Materials
PGR.AX,The Pas Group Ltd,Consumer Discretionary
PGX.AX,Primero Group Ltd,Industrials
PGY.AX,Pilot Energy Ltd,Energy
PIA.AX,Pengana International Equities Ltd,
PIC.AX,Perpetual Equity Investment Company Ltd,
PIL.AX,Peppermint Innovation Ltd,Information Technology
PIN.AX,Pinchme.com Inc,Industrials
PIO.AX,Pioneer Resources Ltd,Materials
PIQ.AX,Proteomics International Laboratories Ltd,Health Care
PIXX.AX,Platinum International Fund (Quoted Managed Hedge Fund),
PKD.AX,Parkd Ltd,Industrials
PKO.AX,Peako Ltd,Energy
PKS.AX,PKS Holdings Ltd,Health Care
PL8.AX,Plato Income Maximiser Ltd,
PLC.AX,PLC Financial Solutions Ltd,Financials
PLL.AX,Piedmont Lithium Ltd,Materials
PLS.AX,Pilbara Minerals Ltd,Materials
PLUS.AX,Vaneck Vectors Australian Corporate Bond Plus ETF,
PLX.AX,Pyrolyx AG,Materials
PM1.AX,Pure Minerals Ltd,Materials
PM8.AX,Pensana Rare EARTHS Plc,Materials
PMC.AX,Platinum Capital Ltd,
PME.AX,Pro Medicus Ltd,Health Care
PMGOLD.AX,Gold Corporation,
PMV.AX,Premier Investments Ltd,Consumer Discretionary
PMY.AX,Pacifico Minerals Ltd,Materials
PNC.AX,Pioneer Credit Ltd,Financials
PNI.AX,Pinnacle Investment Management Group Ltd,Financials
PNL.AX,Paringa Resources Ltd,Energy
PNN.AX,Pepinnini Lithium Ltd,Materials
PNR.AX,Pantoro Ltd,Materials
PNV.AX,Polynovo Ltd,Health Care
PNW.AX,Pacific Star Network Ltd,Communication Services
PNX.AX,PNX Metals Ltd,Materials
PO3.AX,Purifloh Ltd,Utilities
POD.AX,Podium Minerals Ltd,Materials
POS.AX,Poseidon Nickel Ltd,Materials
POU.AX,Betashares British Pound ETF,
POW.AX,Protean Energy Ltd,Industrials
PPC.AX,Peet Ltd,Real Estate
PPE.AX,People Infrastructure Ltd,Industrials
PPG.AX,Pro-Pac Packaging Ltd,Materials
PPH.AX,Pushpay Holdings Ltd,Information Technology
PPK.AX,PPK Group Ltd,Industrials
PPL.AX,Pureprofile Ltd,Communication Services
PPS.AX,Praemium Ltd,Information Technology
PPT.AX,Perpetual Ltd,Financials
PPY.AX,Papyrus Australia Ltd,Materials
PRM.AX,Prominence Energy NL,Energy
PRN.AX,Perenti Global Ltd,Materials
PRO.AX,Prophecy International Holdings Ltd,Information Technology
PRT.AX,Prime Media Group Ltd,Communication Services
PRU.AX,Perseus Mining Ltd,Materials
PRX.AX,Prodigy Gold NL,Materials
PRZ.AX,Parazero Ltd,Information Technology
PSA.AX,Petsec Energy Ltd,Energy
PSC.AX,Prospect Resources Ltd,Materials
PSI.AX,PSC Insurance Group Ltd,Financials
PSL.AX,Paterson Resources Ltd,Materials
PSQ.AX,Pacific Smiles Group Ltd,Health Care
PSZ.AX,PS&C Ltd,Industrials
PTB.AX,PTB Group Ltd,Industrials
PTL.AX,Pental Ltd,Consumer Staples
PTM.AX,Platinum Asset Management Ltd,Financials
PTR.AX,Petratherm Ltd,Materials
PTX.AX,Prescient Therapeutics Ltd,Health Care
PUA.AX,Pure Alumina Ltd,Materials
PUR.AX,Pursuit Minerals Ltd,Materials
PVE.AX,Po Valley Energy Ltd,Energy
PVL.AX,Powerhouse Ventures Ltd,Financials
PVS.AX,Pivotal Systems Corporation,Information Technology
PWG.AX,Primewest,Financials
PWH.AX,PWR Holdings Ltd,Consumer Discretionary
PWL.AX,Powerwrap Ltd,Financials
PWN.AX,Parkway Minerals NL,Materials
PWNCA.AX,Parkway Minerals NL,
PXS.AX,Pharmaxis Ltd,Health Care
PXX.AX,Polarx Ltd,Materials
PYC.AX,PYC Therapeutics Ltd,Health Care
PYG.AX,Paygroup Ltd,Information Technology
QAG.AX,Betashares Agriculture ETF-Currency Hedged (Synthetic),
QAN.AX,Qantas Airways Ltd,Industrials
QAU.AX,Betashares Gold Bullion ETF - Currency Hedged,
QBE.AX,QBE Insurance Group Ltd,Financials
QCB.AX,Betashares Commodities Basket ETF-Currency Hedged(Synthetic),
QEM.AX,QEM Ltd,Materials
QFE.AX,Quickfee Ltd,Financials
QFN.AX,Betashares Australian Financials Sector ETF,
QFY.AX,Quantify Technology Holdings Ltd,Information Technology
QGL.AX,Quantum Graphite Ltd,Materials
QHAL.AX,Vaneck Vectors MSCI World Ex Australia Quality (Hedged) ETF,
QHL.AX,Quickstep Holdings Ltd,Industrials
QIP.AX,QANTM Intellectual Property Ltd,Industrials
QLTY.AX,Betashares Global Quality Leaders ETF,
QMIX.AX,SPDR MSCI World Quality MIX Fund,
QOZ.AX,Betashares Ftse Rafi Australia 200 ETF,
QPON.AX,Betashares Australian Bank Senior Floating Rate Bond ETF,
QPR.AX,Quattro Plus Real Estate,Real Estate
QRE.AX,Betashares Australian Resources Sector ETF,
QRI.AX,Qualitas Real Estate Income Fund,
QSS.AX,Questus Ltd,Real Estate
QTG.AX,Q Technology Group Ltd,Information Technology
QTM.AX,Quantum Health Group Ltd,Health Care
QUAL.AX,Vaneck Vectors MSCI World Ex Australia Quality ETF,
QUB.AX,QUBE Holdings Ltd,Industrials
QUE.AX,Queste Communications Ltd,Financials
QUS.AX,Betashares Ftse Rafi U.S. 1000 ETF,
QVE.AX,QV Equities Ltd,
R3D.AX,R3D Global Ltd,Communication Services
RAC.AX,Race Oncology Ltd,Health Care
RAG.AX,Ragnar Metals Ltd,Materials
RAN.AX,Range International Ltd,Materials
RAP.AX,Resapp Health Ltd,Health Care
RARI.AX,Russell Investments Australian Responsible Investment ETF,
RBD.AX,Restaurant Brands New Zealand Ltd,Consumer Discretionary
RBL.AX,Redbubble Ltd,Consumer Discretionary
RBR.AX,RBR Group Ltd,Materials
RBTZ.AX,Betashares Global Robotics and Artificial Intelligence ETF,
RBX.AX,Resource Base Ltd,Materials
RCB.AX,Russell Investments Australian Select Corporate Bond ETF,
RCE.AX,Recce Pharmaceuticals Ltd,Health Care
RCL.AX,Readcloud Ltd,Information Technology
RCP.AX,Redbank Copper Ltd,Materials
RCT.AX,Reef Casino Trust,Consumer Discretionary
RCW.AX,Rightcrowd Ltd,Information Technology
RD1.AX,Registry Direct Ltd,Information Technology
RDC.AX,Redcape Hotel Group,Consumer Discretionary
RDF.AX,Redflex Holdings Ltd,Information Technology
RDG.AX,Resource Development Group Ltd,Materials
RDH.AX,Redhill Education Ltd,Consumer Discretionary
RDM.AX,Red Metal Ltd,Materials
RDN.AX,Raiden Resources Ltd,Materials
RDS.AX,Redstone Resources Ltd,Materials
RDV.AX,Russell Investments High Dividend Australian Shares ETF,
RDY.AX,Readytech Holdings Ltd,Information Technology
RE1.AX,Resa Group Ltd,Real Estate
REA.AX,REA Group Ltd,Communication Services
RED.AX,RED 5 Ltd,Materials
REE.AX,RAREX Ltd,Materials
REF.AX,Reverse Corp Ltd,
REG.AX,Regis Healthcare Ltd,Health Care
REH.AX,Reece Ltd,Industrials
REIT.AX,Vaneck Vectors Ftse International Property (Hedged) ETF,
RENT.AX,AMP Capital Global Property Sec Fund,
RES.AX,Resource Generation Ltd,Energy
REV.AX,Real Estate Investar Group Ltd,Communication Services
REX.AX,Regional Express Holdings Ltd,Industrials
REY.AX,REY Resources Ltd,Energy
REZ.AX,Resources & Energy Group Ltd,Materials
RF1.AX,Regal Investment Fund,
RFF.AX,Rural Funds Group,Real Estate
RFG.AX,Retail Food Group Ltd,Consumer Discretionary
RFN.AX,Reffind Ltd,Information Technology
RFR.AX,Rafaella Resources Ltd,Materials
RFT.AX,Rectifier Technologies Ltd,Industrials
RFX.AX,Redflow Ltd,Industrials
RGB.AX,Russell Investments Australian Government Bond ETF,
RGI.AX,Roto-Gro International Ltd,Industrials
RGL.AX,Riversgold Ltd,Materials
RGS.AX,Regeneus Ltd,Health Care
RHC.AX,Ramsay Health Care Ltd,Health Care
RHI.AX,Red Hill Iron Ltd,Materials
RHP.AX,Rhipe Ltd,Information Technology
RHT.AX,Resonance Health Ltd,Health Care
RHY.AX,RHYTHM Biosciences Ltd,Health Care
RIC.AX,Ridley Corporation Ltd,Consumer Staples
RIE.AX,Riedel Resources Ltd,Materials
RIM.AX,Rimfire Pacific Mining NL,Materials
RINC.AX,Betashares Legg Mason Real Income Fund (Managed Fund),
RIO.AX,RIO Tinto Ltd,Materials
RKN.AX,Reckon Ltd,Information Technology
RLC.AX,Reedy Lagoon Corporation Ltd,Materials
RLE.AX,Real Energy Corporation Ltd,Energy
RLG.AX,Roolife Group Ltd,Information Technology
RLT.AX,Renergen Ltd,Energy
RMC.AX,Resimac Group Ltd,Financials
RMD.AX,Resmed Inc,Health Care
RMG.AX,RMG Ltd,Materials
RMI.AX,Resource Mining Corporation Ltd,Materials
RML.AX,Resolution Minerals Ltd,Materials
RMP.AX,Red Emperor Resources NL,Energy
RMS.AX,Ramelius Resources Ltd,Materials
RMT.AX,Rma Energy Ltd,Materials
RMX.AX,Red Mountain Mining Ltd,Materials
