Company,Ticker,Exchange,Currency
AMATHEON AGRI,MLAAH.PA,Euronext Access Paris,EUR
AMG,AMG.PA,Euronext Amsterdam,EUR
AMOEBA,ALMIB.PA,Euronext Growth Paris,EUR
AMPLITUDE SURGICAL,AMPLI.PA,Euronext Paris,EUR
AMSTERDAM COMMOD.,ACOMO.PA,Euronext Amsterdam,EUR
AMUNDI,AMUN.PA,Euronext Paris,EUR
ANTARES CERT,ANT.PA,Euronext Brussels,EUR
ANTEVENIO,ALANT.PA,Euronext Growth Paris,EUR
ANTIN INFRA PARTN,ANTIN.PA,Euronext Paris,EUR
APTORUM GROUP CL A,APM.PA,Euronext Paris,EUR
AQUILA,ALAQU.PA,Euronext Growth Paris,EUR
ARAMIS GROUP,ARAMI.PA,Euronext Paris,EUR
ARCADIS,ARCAD.PA,Euronext Amsterdam,EUR
ARCHOS,ALJXR.PA,Euronext Growth Paris,EUR
ARCURE,ALCUR.PA,Euronext Growth Paris,EUR
ARDOIN ST AMAND A,MLARD.PA,Euronext Access Paris,EUR
ARDOIN ST AMAND B,ARDO.PA,Euronext Access Paris,EUR
ARGAN,ARG.PA,Euronext Paris,EUR
ARGENX SE,ARGX.PA,Euronext Brussels,EUR
ARIMELIA ITG,MLARI.PA,Euronext Access Paris,EUR
ARKEMA,AKE.PA,Euronext Paris,EUR
AROCA DEL PINAR,MLARO.PA,Euronext Access Paris,EUR
ARTEA,ARTE.PA,Euronext Paris,EUR
ARTEFACT,ALATF.PA,Euronext Growth Paris,EUR
ARTMARKET COM,PRC.PA,Euronext Paris,EUR
ARTOIS NOM.,ARTO.PA,Euronext Paris,EUR
ASCENCIO,ASC.PA,Euronext Brussels,EUR
ASHLER ET MANSON,MLAEM.PA,Euronext Access Paris,EUR
ASM INTERNATIONAL,ASM.PA,Euronext Amsterdam,EUR
ASML HOLDING,ASML.PA,Euronext Amsterdam,EUR
ASR NEDERLAND,ASRNL.PA,Euronext Amsterdam,EUR
ASSICURAZ.GEN.ORD.,GEN.PA,Traded not listed Brussels,EUR
ASSYSTEM,ASY.PA,Euronext Paris,EUR
ATARI,ATA.PA,Euronext Paris,EUR
ATEME,ATEME.PA,Euronext Paris,EUR
ATENOR,ATEB.PA,Euronext Brussels,EUR
ATOS,ATO.PA,Euronext Paris,EUR
ATRIUM EUR REALEST,ATRS.PA,Euronext Amsterdam,EUR
AUBAY,AUB.PA,Euronext Paris,EUR
AUDACIA,ALAUD.PA,Euronext Growth Paris,EUR
AUDIENCE LABS,MLAUD.PA,Euronext Access Paris,EUR
AUGROS COSMETICS,AUGR.PA,Euronext Paris,EUR
AUPLATA MINING GR,ALAMG.PA,Euronext Growth Paris,EUR
AUREA,AURE.PA,Euronext Paris,EUR
AURES TECHNOLOGIES,AURS.PA,Euronext Paris,EUR
AVENIR TELECOM,AVT.PA,Euronext Paris,EUR
AXA,CS.PA,Euronext Paris,EUR
AXWAY SOFTWARE,AXW.PA,Euronext Paris,EUR
AZ LEASING,MLAZL.PA,Euronext Access Paris,EUR
AZELIS GROUP,AZE.PA,Euronext Brussels,EUR
AZOREAN TECH,MLAAT.PA,Euronext Access Paris,EUR
B&S Group,BSGR.PA,Euronext Amsterdam,EUR
B.COM.PORTUGUES,BCP.PA,Euronext Lisbon,EUR
BAIKOWSKI,ALBKK.PA,Euronext Growth Paris,EUR
BAINS MER MONACO,BAIN.PA,Euronext Paris,EUR
BALTA GROUP,BALTA.PA,Euronext Brussels,EUR
BALYO,BALYO.PA,Euronext Paris,EUR
BAM GROEP KON,BAMNB.PA,Euronext Amsterdam,EUR
BANCO BILBAO VIZC.,BBV.PA,Traded not listed Brussels,EUR
BANCO SANTANDER,SANTA.PA,Traded not listed Brussels,EUR
BANIMMO A,BANI.PA,Euronext Brussels,EUR
BANK OF IR NC PREF,DD7E.PA,Euronext Dublin,EUR
BANK OF IR NCP STF,DD7D.PA,Euronext Dublin,EUR
BANK OF IRELAND GP,BIRG.PA,Euronext Dublin,EUR
BARBARA BUI,BUI.PA,Euronext Paris,EUR
BARCO,BAR.PA,Euronext Brussels,EUR
BARINGS CORE SPAIN,MLBAR.PA,Euronext Access Paris,EUR
BASIC-FIT,BFIT.PA,Euronext Amsterdam,EUR
BASILIX CERT,BAS.PA,Euronext Brussels,EUR
BASSAC,BASS.PA,Euronext Paris,EUR
BASTIDE LE CONFORT,BLC.PA,Euronext Paris,EUR
BATLA MINERALS,MLBAT.PA,Euronext Access Paris,EUR
BD MULTI MEDIA,ALBDM.PA,Euronext Growth Paris,EUR
BE SEMICONDUCTOR,BESI.PA,Euronext Amsterdam,EUR
BEACONSMIND,MLBMD.PA,Euronext Access Paris,EUR
BEAULIEU-AV. CERT,BEAB.PA,Euronext Brussels,EUR
BEFIMMO,BEFB.PA,Euronext Brussels,EUR
BEKAERT,BEKB.PA,Euronext Brussels,EUR
BEL,FBEL.PA,Euronext Paris,EUR
BELIEVE,BLV.PA,Euronext Paris,EUR
BELRECA,BELR.PA,Euronext Brussels,EUR
BELUGA,BELU.PA,Euronext Brussels,EUR
BENETEAU,BEN.PA,Euronext Paris,EUR
BENFICA,SLBEN.PA,Euronext Lisbon,EUR
BERNARD LOISEAU,ALDBL.PA,Euronext Growth Paris,EUR
BETER BED,BBED.PA,Euronext Amsterdam,EUR
BEVER HOLDING,BEVER.PA,Euronext Amsterdam,EUR
BIC,BB.PA,Euronext Paris,EUR
BIGBEN INTERACTIVE,BIG.PA,Euronext Paris,EUR
BILENDI,ALBLD.PA,Euronext Growth Paris,EUR
BIOCARTIS,BCART.PA,Euronext Brussels,EUR
BIOCORP,ALCOR.PA,Euronext Growth Paris,EUR
BIOMERIEUX,BIM.PA,Euronext Paris,EUR
BIOPHYTIS,ALBPS.PA,Euronext Growth Paris,EUR
BIOPHYTIS BSA,BPSBS.PA,Euronext Growth Paris,EUR
BIOSYNEX,ALBIO.PA,Euronext Growth Paris,EUR
BIOSYNEX BSAR,BIOBS.PA,Euronext Growth Paris,EUR
BIOTALYS,BTLS.PA,Euronext Brussels,EUR
BIO-UV GROUP,ALTUV.PA,Euronext Growth Paris,EUR
BLEECKER,BLEE.PA,Euronext Paris,EUR
BLUE SHARK POWER,MLBSP.PA,Euronext Access Paris,EUR
BLUELINEA,ALBLU.PA,Euronext Growth Paris,EUR
BLUELINEA BSA Y,BLUBT.PA,Euronext Growth Paris,EUR
BNP PARIBAS ACT.A,BNP.PA,Euronext Paris,EUR
BOA CONCEPT,ALBOA.PA,Euronext Growth Paris,EUR
BODY ONE,MLONE.PA,Euronext Access Paris,EUR
BOIRON,BOI.PA,Euronext Paris,EUR
BOLLORE,BOL.PA,Euronext Paris,EUR
BONDUELLE,BON.PA,Euronext Paris,EUR
BOOSTHEAT,ALBOO.PA,Euronext Growth Paris,EUR
BOSKALIS WESTMIN,BOKA.PA,Euronext Amsterdam,EUR
BOURRELIER GROUP,ALBOU.PA,Euronext Growth Paris,EUR
BOURSE DIRECT,BSD.PA,Euronext Paris,EUR
BOUSSARD GAVAUDAN,BGHL.PA,Euronext Amsterdam,EUR
BOUYGUES,EN.PA,Euronext Paris,EUR
BPOST,BPOST.PA,Euronext Brussels,EUR
BQUE NAT. BELGIQUE,BNB.PA,Euronext Brussels,EUR
BREDERODE,BREB.PA,Euronext Brussels,EUR
BRILL KON,BRILL.PA,Euronext Amsterdam,EUR
BRUNEL INTERNAT,BRNL.PA,Euronext Amsterdam,EUR
BUREAU VERITAS,BVI.PA,Euronext Paris,EUR
BURELLE,BUR.PA,Euronext Paris,EUR
CA TOULOUSE 31 CCI,CAT31.PA,Euronext Paris,EUR
CABASSE GROUP,ALCG.PA,Euronext Growth Paris,EUR
CAFOM,CAFO.PA,Euronext Paris,EUR
CAIRE,MLAAE.PA,Euronext Access Paris,EUR
CAIRN HOMES PLC,C5H.PA,Euronext Dublin,EUR
CAMBODGE NOM.,CBDG.PA,Euronext Paris,EUR
CAMPINE,CAMB.PA,Euronext Brussels,EUR
CANDELA INVEST,CAND.PA,Euronext Growth Brussels,EUR
CAPELLI,CAPLI.PA,Euronext Paris,EUR
CAPGEMINI,CAP.PA,Euronext Paris,EUR
CARBIOS,ALCRB.PA,Euronext Growth Paris,EUR
CARE PROPERTY INV.,CPINV.PA,Euronext Brussels,EUR
CARMAT,ALCAR.PA,Euronext Growth Paris,EUR
CARMILA,CARM.PA,Euronext Paris,EUR
CARPINIENNE PART.,CARP.PA,Euronext Paris,EUR
CARREFOUR,CA.PA,Euronext Paris,EUR
CASINO GUICHARD,CO.PA,Euronext Paris,EUR
CAST,CAS.PA,Euronext Paris,EUR
CATANA GROUP,CATG.PA,Euronext Paris,EUR
CATERING INTL SCES,CTRG.PA,Euronext Paris,EUR
CATERPILLAR INC,CATR.PA,Euronext Paris,EUR
CBO TERRITORIA,CBOT.PA,Euronext Paris,EUR
CECURITY.COM,MLCEC.PA,Euronext Access Paris,EUR
CEGEDIM,CGM.PA,Euronext Paris,EUR
CELLECTIS,ALCLS.PA,Euronext Growth Paris,EUR
CENERGY,CENER.PA,Euronext Brussels,EUR
CERINNOV GROUP,ALPCV.PA,Euronext Growth Paris,EUR
CESAR,ALCES.PA,Euronext Growth Paris,EUR
CESYNT A SHARES,MLCSA.PA,Euronext Access Paris,EUR
CESYNT B SHARES,MLCSB.PA,Euronext Access Paris,EUR
CFE,CFEB.PA,Euronext Brussels,EUR
CFI,CFI.PA,Euronext Paris,EUR
CFM INDOSUEZWEALTH,MLCFM.PA,Euronext Access Paris,EUR
CGG,CGG.PA,Euronext Paris,EUR
CGG BSA 1,CGGBS.PA,Euronext Paris,EUR
CGG BSA 2,CGGBT.PA,Euronext Paris,EUR
CH.FER DEPARTEMENT,MLCFD.PA,Euronext Access Paris,EUR
CH.FER VAR GARD N.,MLCVG.PA,Euronext Access Paris,EUR
CHARGEURS,CRI.PA,Euronext Paris,EUR
CHAUSSERIA,CHSR.PA,Euronext Paris,EUR
CHEOPS TECHNOLOGY,MLCHE.PA,Euronext Access Paris,EUR
CHOICE,MLTV.PA,Euronext Access Brussels,EUR
CHRISTIAN DIOR,CDI.PA,Euronext Paris,EUR
CIBOX INTER A CTIV,CIB.PA,Euronext Paris,EUR
CIE BOIS SAUVAGE,COMB.PA,Euronext Brussels,EUR
CIE DU MONT BLANC,MLCMB.PA,Euronext Access Paris,EUR
CIOA,MLCIO.PA,Euronext Access Paris,EUR
CLARANOVA,CLA.PA,Euronext Paris,EUR
CLASQUIN,ALCLA.PA,Euronext Growth Paris,EUR
CM.COM,CMCOM.PA,Euronext Amsterdam,EUR
CNIM GROUP,COM.PA,Euronext Paris,EUR
CNOVA,CNV.PA,Euronext Paris,EUR
CNP ASSURANCES,CNP.PA,Euronext Paris,EUR
CO.PA.HA,COBH.PA,Euronext Growth Brussels,EUR
Coca-ColaEuropacif,CCEP.PA,Euronext Amsterdam,EUR
COFACE,COFA.PA,Euronext Paris,EUR
COFIDUR,ALCOF.PA,Euronext Growth Paris,EUR
COFINIMMO,COFB.PA,Euronext Brussels,EUR
COGELEC,ALLEC.PA,Euronext Growth Paris,EUR
COGRA,ALCOG.PA,Euronext Growth Paris,EUR
COHERIS,COH.PA,Euronext Paris,EUR
COIL,ALCOI.PA,Euronext Growth Paris,EUR
COLAS,RE.PA,Euronext Paris,EUR
COLIPAYS,MLCLP.PA,Euronext Access Paris,EUR
COLRUYT,COLR.PA,Euronext Brussels,EUR
COMPAGNIE ODET,ODET.PA,Euronext Paris,EUR
CONDOR TECHNOLOG,MLMFI.PA,Euronext Access Paris,EUR
CONDURIL,CDU.PA,Euronext Access Lisbon,EUR
CONSORT NT,MLCNT.PA,Euronext Access Paris,EUR
CONSTRUCTEURS BOIS,MLLCB.PA,Euronext Access Paris,EUR
COPAM,CPA.PA,Euronext Access Lisbon,EUR
CORBION,CRBN.PA,Euronext Amsterdam,EUR
CORE LABORATORIES,CLB.PA,Euronext Amsterdam,EUR
COREP LIGHTING,MLCOR.PA,Euronext Access Paris,EUR
CORRE ENERGY B.V.,CORRE.PA,Euronext Growth Dublin,EUR
CORTICEIRA AMORIM,COR.PA,Euronext Lisbon,EUR
COURBET,MLCOU.PA,Euronext Access Paris,EUR
COURTOIS,COUR.PA,Euronext Paris,EUR
COVIVIO,COV.PA,Euronext Paris,EUR
COVIVIO HOTELS,COVH.PA,Euronext Paris,EUR
CRCAM ALP.PROV.CCI,CRAP.PA,Euronext Paris,EUR
CRCAM ATL.VEND.CCI,CRAV.PA,Euronext Paris,EUR
CRCAM BRIE PIC2CCI,CRBP2.PA,Euronext Paris,EUR
CRCAM ILLE-VIL.CCI,CIV.PA,Euronext Paris,EUR
CRCAM LANGUED CCI,CRLA.PA,Euronext Paris,EUR
CRCAM LOIRE HTE L.,CRLO.PA,Euronext Paris,EUR
CRCAM MORBIHAN CCI,CMO.PA,Euronext Paris,EUR
CRCAM NORD CCI,CNF.PA,Euronext Paris,EUR
CRCAM NORM.SEINE,CCN.PA,Euronext Paris,EUR
CRCAM PARIS ET IDF,CAF.PA,Euronext Paris,EUR
CRCAM SUD R.A.CCI,CRSU.PA,Euronext Paris,EUR
CRCAM TOURAINE CCI,CRTO.PA,Euronext Paris,EUR
CREDIT AGRICOLE,ACA.PA,Euronext Paris,EUR
CRESCENT,OPTI.PA,Euronext Brussels,EUR
CRH PLC 5PCCumPref,DD8A.PA,Euronext Dublin,EUR
CRH PLC 7PCCumPref,DD8B.PA,Euronext Dublin,EUR
CRH PLC ord,CRG.PA,Euronext Dublin,EUR
CROSSJECT,ALCJ.PA,Euronext Growth Paris,EUR
CROSSWOOD,CROS.PA,Euronext Paris,EUR
CS GROUP.,SX.PA,Euronext Paris,EUR
CTAC,CTAC.PA,Euronext Amsterdam,EUR
CTC ORD SHARES,CTCA1.PA,Euronext Amsterdam,EUR
CTC TREAS SHARES,CTCT1.PA,Euronext Amsterdam,EUR
CTC WARRANTS,CTCW1.PA,Euronext Amsterdam,EUR
CTP,CTPNV.PA,Euronext Amsterdam,EUR
CTT CORREIOS PORT,CTT.PA,Euronext Lisbon,EUR
CUMULEX,CLEX.PA,Euronext Brussels,EUR
CYBERGUN,ALCYB.PA,Euronext Growth Paris,EUR
CYBERGUN BSA 2,CYBBT.PA,Euronext Growth Paris,EUR
CYBERGUN BSA K1,CYBK1.PA,Euronext Growth Paris,EUR
CYBERGUN BSA K2A,CYBKA.PA,Euronext Growth Paris,EUR
CYBERGUN BSA K2B,CYBKB.PA,Euronext Growth Paris,EUR
D.L.S.I.,ALDLS.PA,Euronext Growth Paris,EUR
DALATA HOTEL GP.,DHG.PA,Euronext Dublin,EUR
DAMARIS,MLDAM.PA,Euronext Access Paris,EUR
DAMARTEX,ALDAR.PA,Euronext Growth Paris,EUR
DANONE,BN.PA,Euronext Paris,EUR
DASSAULT AVIATION,AM.PA,Euronext Paris,EUR
DASSAULT SYSTEMES,DSY.PA,Euronext Paris,EUR
DATALEX PLC,DLE.PA,Euronext Growth Dublin,EUR
DBT,ALDBT.PA,Euronext Growth Paris,EUR
DBV TECHNOLOGIES,DBV.PA,Euronext Paris,EUR
DECEUNINCK,DECB.PA,Euronext Brussels,EUR
DEE TECH SHARES,DEE.PA,Euronext Paris,EUR
DEE TECH WARRANTS,DEEW.PA,Euronext Paris,EUR
DEINOVE,ALDEI.PA,Euronext Growth Paris,EUR
DEKUPLE,DKUPL.PA,Euronext Paris,EUR
DELFINGEN,ALDEL.PA,Euronext Growth Paris,EUR
DELTA DRONE,ALDR.PA,Euronext Growth Paris,EUR
DELTA DRONE BSA Y,ALDBY.PA,Euronext Growth Paris,EUR
DELTA PLUS GROUP,DLTA.PA,Euronext Paris,EUR
DERICHEBOURG,DBG.PA,Euronext Paris,EUR
DESIGN YOUR HOME,MLDYH.PA,Euronext Access Paris,EUR
DEUTSCHE TELEKOM,DTEL.PA,Traded not listed Brussels,EUR
DEVERNOIS,ALDEV.PA,Euronext Growth Paris,EUR
DEVOTEAM,DVT.PA,Euronext Paris,EUR
DEXIA,DEXB.PA,Euronext Expert Market,EUR
DGB GROUP N.V.,DGB.PA,Euronext Amsterdam,EUR
DIAGEO,DGE.PA,Euronext Paris,EUR
DIAGEO PLC,GUI1.PA,Euronext Dublin,EUR
DIAGNOSTIC MEDICAL,DGM.PA,Euronext Paris,EUR
DIEGEM KENNEDYCERT,DIEG.PA,Euronext Brussels,EUR
D'IETEREN GROUP,DIE.PA,Euronext Brussels,EUR
DISTRI-LAND CERT,DISL.PA,Euronext Brussels,EUR
DNXCORP,ALDNX.PA,Euronext Growth Paris,EUR
DOCK.PETR.AMBES AM,DPAM.PA,Euronext Paris,EUR
DOLFINES,ALDOL.PA,Euronext Growth Paris,EUR
DONEGAL INVESTMENT,DQ7A.PA,Euronext Growth Dublin,EUR
DONTNOD,ALDNE.PA,Euronext Growth Paris,EUR
DPA GROUP,DPA.PA,Euronext Amsterdam,EUR
DRAPER ESPRIT PLC,GRW.PA,Euronext Dublin,EUR
DRONE VOLT,ALDRV.PA,Euronext Growth Paris,EUR
DSC2,DSC2.PA,Euronext Amsterdam,EUR
DSC2 TREAS SHARES,DSC2S.PA,Euronext Amsterdam,EUR
DSM KON,DSM.PA,Euronext Amsterdam,EUR
DUTCH STAR C W11,DSCW1.PA,Euronext Amsterdam,EUR
DUTCH STAR C W12,DSCW2.PA,Euronext Amsterdam,EUR
DUTCH STAR C W13,DSCW3.PA,Euronext Amsterdam,EUR
DYNAFOND,MLDYN.PA,Euronext Access Paris,EUR
DYNEX ENERGY SA,MLDYX.PA,Euronext Access Paris,EUR
E PANGO,ALAGO.PA,Euronext Growth Paris,EUR
E.ON SE,EON.PA,Traded not listed Brussels,EUR
EASE2PAY NV,EAS2P.PA,Euronext Amsterdam,EUR
EASSON HOLDINGS,MLEAS.PA,Euronext Access Paris,EUR
EAUX DE ROYAN,MLEDR.PA,Euronext Access Paris,EUR
EAVS,MLEAV.PA,Euronext Access Paris,EUR
ECOLUTIONS,MLECO.PA,Euronext Access Paris,EUR
ECOMIAM,ALECO.PA,Euronext Growth Paris,EUR
ECONOCOM GROUP,ECONB.PA,Euronext Brussels,EUR
ECOSLOPS,ALESA.PA,Euronext Growth Paris,EUR
EDENRED,EDEN.PA,Euronext Paris,EUR
EDF,EDF.PA,Euronext Paris,EUR
EDILIZIACROBATICA,ALEAC.PA,Euronext Growth Paris,EUR
EDITIONS DU SIGNE,MLEDS.PA,Euronext Access Paris,EUR
EDP,EDP.PA,Euronext Lisbon,EUR
EDP RENOVAVEIS,EDPR.PA,Euronext Lisbon,EUR
EDUNIVERSAL,MLEDU.PA,Euronext Access Paris,EUR
EES,MLEES.PA,Euronext Access Paris,EUR
EFIC1 ORD SHARES,EFIC1.PA,Euronext Amsterdam,EUR
EFIC1 TREASURY SH,EFICT.PA,Euronext Amsterdam,EUR
EFIC1 WARRANTS,EFICW.PA,Euronext Amsterdam,EUR
EGIDE,GID.PA,Euronext Paris,EUR
EIFFAGE,FGR.PA,Euronext Paris,EUR
EKINOPS,EKI.PA,Euronext Paris,EUR
EKOPAK,EKOP.PA,Euronext Brussels,EUR
ELEC.STRASBOURG,ELEC.PA,Euronext Paris,EUR
ELECT. MADAGASCAR,EEM.PA,Euronext Paris,EUR
ELIA GROUP,ELI.PA,Euronext Brussels,EUR
ELIOR GROUP,ELIOR.PA,Euronext Paris,EUR
ELIS,ELIS.PA,Euronext Paris,EUR
EMAKINA GROUP,ALEMK.PA,Euronext Growth Brussels,EUR
EMD MUSIC,EMD.PA,Euronext Expert Market,EUR
EMOVA GROUP,ALEMV.PA,Euronext Growth Paris,EUR
ENCRES DUBUIT,ALDUB.PA,Euronext Growth Paris,EUR
ENENSYS,ALNN6.PA,Euronext Growth Paris,EUR
ENERGISME,ALNRG.PA,Euronext Growth Paris,EUR
ENERTIME,ALENE.PA,Euronext Growth Paris,EUR
ENI,ENI.PA,Traded not listed Brussels,EUR
ENOGIA,ALENO.PA,Euronext Growth Paris,EUR
ENTECH,ALESE.PA,Euronext Growth Paris,EUR
ENTP ORD SHARES,ENTPA.PA,Euronext Amsterdam,EUR
ENTP TREAS SHARES,ENTPT.PA,Euronext Amsterdam,EUR
ENTP WARRANTS,ENTPW.PA,Euronext Amsterdam,EUR
ENTREPARTICULIERS,ALENT.PA,Euronext Growth Paris,EUR
ENTREPRENDRE,ALENR.PA,Euronext Growth Paris,EUR
ENVEA,ALTEV.PA,Euronext Growth Paris,EUR
ENVIPCO,ENVI.PA,Euronext Amsterdam,EUR
EO2,ALEO2.PA,Euronext Growth Paris,EUR
ERAMET,ERA.PA,Euronext Paris,EUR
ERYTECH PHARMA,ERYP.PA,Euronext Paris,EUR
ESG CORE INVEST,ESG.PA,Euronext Amsterdam,EUR
ESG CORE TREAS SHA,ESGT.PA,Euronext Amsterdam,EUR
ESG CORE WARRANTS,ESGWA.PA,Euronext Amsterdam,EUR
ESI GROUP,ESI.PA,Euronext Paris,EUR
ESKER,ALESK.PA,Euronext Growth Paris,EUR
ESSILORLUXOTTICA,EL.PA,Euronext Paris,EUR
ESSO,ES.PA,Euronext Paris,EUR
ESTORIL SOL N,ESON.PA,Euronext Lisbon,EUR
EURASIA FONC INV,EFI.PA,Euronext Paris,EUR
EURASIA GROUPE,ALEUA.PA,Euronext Growth Paris,EUR
EURAZEO,RF.PA,Euronext Paris,EUR
EURO RESSOURCES,EUR.PA,Euronext Paris,EUR
EUROBIO-SCIENTIFIC,ALERS.PA,Euronext Growth Paris,EUR
EUROCASTLE INVEST.,ECT.PA,Euronext Amsterdam,EUR
EUROFINS CEREP,ALECR.PA,Euronext Growth Paris,EUR
EUROFINS SCIENT.,ERF.PA,Euronext Paris,EUR
EUROLAND CORPORATE,MLERO.PA,Euronext Access Paris,EUR
EUROLOG CANOLA,MLCAN.PA,Euronext Access Paris,EUR
EUROMEDIS GROUPE,ALEMG.PA,Euronext Growth Paris,EUR
EURONAV,EURN.PA,Euronext Brussels,EUR
EURONEXT,ENXP.PA,Euronext Lisbon,EUR
EUROPACORP,ECP.PA,Euronext Paris,EUR
EUROPCAR MOBILITY,EUCAR.PA,Euronext Paris,EUR
EUROPLASMA,ALEUP.PA,Euronext Growth Paris,EUR
EUROPLASMA BSC,EURBU.PA,Euronext Growth Paris,EUR
EUTELSAT COMMUNIC.,ETL.PA,Euronext Paris,EUR
EVERGREEN,EGR.PA,Euronext Paris,EUR
EVERSET,MLEVE.PA,Euronext Access Paris,EUR
EVOLIS,ALTVO.PA,Euronext Growth Paris,EUR
EVS BROADC.EQUIPM.,EVS.PA,Euronext Brussels,EUR
EXACOMPTA CLAIREF.,ALEXA.PA,Euronext Growth Paris,EUR
EXCLUSIVE NETWORKS,EXN.PA,Euronext Paris,EUR
EXEL INDUSTRIES,EXE.PA,Euronext Paris,EUR
EXMAR,EXM.PA,Euronext Brussels,EUR
