Ticker,Company,Sector
QLYS,QUALYS INC,Information Technology
SUM,SUMMIT MATERIALS INC CLASS A,Materials
VG,VONAGE HOLDINGS CORP,Information Technology
SONO,SONOS INC,Consumer Discretionary
LPSN,LIVEPERSON INC,Information Technology
FELE,FRANKLIN ELECTRIC INC,Industrials
SFBS,SERVISFIRST BANCSHARES INC,Financials
PPBI,PACIFIC PREMIER BANCORP INC,Financials
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary
MGNI,MAGNITE INC,Communication
DIOD,DIODES INC,Information Technology
FN,FABRINET,Information Technology
BKU,BANKUNITED INC,Financials
MTH,MERITAGE CORP,Consumer Discretionary
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care
ALRM,ALARM.COM HOLDINGS INC,Information Technology
MAC,MACERICH REIT,Real Estate
WD,WALKER & DUNLOP INC,Financials
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials
ALLK,ALLAKOS INC,Health Care
HOMB,HOME BANCSHARES INC,Financials
PGNY,PROGYNY INC,Health Care
OPCH,OPTION CARE HEALTH INC,Health Care
NJR,NEW JERSEY RESOURCES CORP,Utilities
ARVN,ARVINAS INC,Health Care
CBU,COMMUNITY BANK SYSTEM INC,Financials
BOX,BOX INC CLASS A,Information Technology
SEM,SELECT MEDICAL HOLDINGS CORP,Health Care
CIM,CHIMERA INVESTMENT CORP,Financials
CSOD,CORNERSTONE ONDEMAND INC,Information Technology
OGS,ONE GAS INC,Utilities
EBC,EASTERN BANKSHARES INC,Financials
ABCB,AMERIS BANCORP,Financials
ISBC,INVESTORS BANCORP INC,Financials
DAN,DANA INCORPORATED INC,Consumer Discretionary
DEN,DENBURY INC,Energy
TRTN,TRITON INTERNATIONAL LTD,Industrials
APPN,APPIAN CORP CLASS A,Information Technology
PCH,POTLATCHDELTIC CORP,Real Estate
KOD,KODIAK SCIENCES INC,Health Care
SM,SM ENERGY,Energy
RCII,RENT-A-CENTER INC,Consumer Discretionary
ACIW,ACI WORLDWIDE INC,Information Technology
BLKB,BLACKBAUD INC,Information Technology
AIMC,ALTRA INDUSTRIAL MOTION CORP,Industrials
KNSL,KINSALE CAPITAL GROUP INC,Financials
RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary
CCMP,CMC MATERIALS INC,Information Technology
LPRO,OPEN LENDING CORP CLASS A,Financials
FOCS,FOCUS FINANCIAL PARTNERS INC CLASS,Financials
APLE,APPLE HOSPITALITY REIT INC,Real Estate
ONTO,ONTO INNOVATION INC,Information Technology
ROG,ROGERS CORP,Information Technology
VIAV,VIAVI SOLUTIONS INC,Information Technology
SHOO,STEVEN MADDEN LTD,Consumer Discretionary
FCFS,FIRSTCASH INC,Financials
HAE,HAEMONETICS CORP,Health Care
LCII,LCI INDUSTRIES,Consumer Discretionary
ARNC,ARCONIC CORP,Materials
PSB,PS BUSINESS PARKS REIT INC,Real Estate
REZI,RESIDEO TECHNOLOGIES INC,Industrials
FUBO,FUBOTV INC,Communication
CRC,CALIFORNIA RESOURCES CORP,Energy
SWN,SOUTHWESTERN ENERGY,Energy
RAMP,LIVERAMP HOLDINGS INC,Information Technology
CVLT,COMMVAULT SYSTEMS INC,Information Technology
INSM,INSMED INC,Health Care
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate
ASB,ASSOCIATED BANCORP,Financials
CNO,CNO FINANCIAL GROUP INC,Financials
FUL,HB FULLER,Materials
NAVI,NAVIENT CORP,Financials
HI,HILLENBRAND INC,Industrials
CDNA,CAREDX INC,Health Care
CRNC,CERENCE INC,Information Technology
ITRI,ITRON INC,Information Technology
MXL,MAXLINEAR INC,Information Technology
UNF,UNIFIRST CORP,Industrials
AWR,AMERICAN STATES WATER,Utilities
OSTK,OVERSTOCK COM INC,Consumer Discretionary
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary
SBRA,SABRA HEALTH CARE REIT INC,Real Estate
NOVA,SUNNOVA ENERGY INTERNATIONAL INC,Utilities
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology
LANC,LANCASTER COLONY CORP,Consumer Staples
SR,SPIRE INC,Utilities
ALTR,ALTAIR ENGINEERING INC CLASS A,Information Technology
HP,HELMERICH & PAYNE INC,Energy
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary
ENS,ENERSYS,Industrials
DBRG,DIGITALBRIDGE GROUP INC CLASS A,Real Estate
AJRD,AEROJET ROCKETDYNE HOLDINGS INC,Industrials
GATX,GATX CORP,Industrials
TRUP,TRUPANION INC,Financials
PD,PAGERDUTY INC,Information Technology
KBH,KB HOME,Consumer Discretionary
DDD,3D SYSTEMS CORP,Information Technology
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary
CARG,CARGURUS INC CLASS A,Communication
ALE,ALLETE INC,Utilities
ATRC,ATRICURE INC,Health Care
OFC,CORPORATE OFFICE PROPERTIES TRUST,Real Estate
SKY,SKYLINE CHAMPION CORP,Consumer Discretionary
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities
NSIT,INSIGHT ENTERPRISES INC,Information Technology
ELY,CALLAWAY GOLF,Consumer Discretionary
CATY,CATHAY GENERAL BANCORP,Financials
WDFC,WD-40,Consumer Staples
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities
KWR,QUAKER CHEMICAL CORP,Materials
CALX,CALIX NETWORKS INC,Information Technology
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication
EQC,EQUITY COMMONWEALTH REIT,Real Estate
AX,AXOS FINANCIAL INC,Financials
ORA,ORMAT TECH INC,Utilities
FOLD,AMICUS THERAPEUTICS INC,Health Care
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials
MNTV,MOMENTIVE GLOBAL INC,Information Technology
WBT,WELBILT INC,Industrials
ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary
INOV,INOVALON HOLDINGS INC CLASS A,Health Care
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology
ABM,ABM INDUSTRIES INC,Industrials
LC,LENDINGCLUB CORP,Financials
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology
LGIH,LGI HOMES INC,Consumer Discretionary
FHI,FEDERATED HERMES INC CLASS B,Financials
SEAS,SEAWORLD ENTERTAINMENT INC,Consumer Discretionary
ESGR,ENSTAR GROUP LTD,Financials
NWE,NORTHWESTERN CORP,Utilities
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples
BXS,BANCORPSOUTH,Financials
BCO,BRINKS,Industrials
GSHD,GOOSEHEAD INSURANCE INC CLASS A,Financials
FLOW,SPX FLOW INC,Industrials
VICR,VICOR CORP,Industrials
PHR,PHREESIA INC,Health Care
VRNT,VERINT SYSTEMS INC,Information Technology
ALGT,ALLEGIANT TRAVEL,Industrials
HLNE,HAMILTON LANE INC CLASS A,Financials
PEB,PEBBLEBROOK HOTEL TRUST REIT,Real Estate
NGVT,INGEVITY CORP,Materials
RPAI,RETAIL PROPERTIES OF AMERICA REIT,Real Estate
NUVA,NUVASIVE INC,Health Care
BMI,BADGER METER INC,Information Technology
KMT,KENNAMETAL INC,Industrials
COOP,MR COOPER GROUP INC,Financials
CBT,CABOT CORP,Materials
VCYT,VERACYTE INC,Health Care
PRG,PROG HOLDINGS INC,Financials
CYTK,CYTOKINETICS INC,Health Care
AXNX,AXONICS INC,Health Care
IGT,INTERNATIONAL GAME TECHNOLOGY PLC,Consumer Discretionary
AUB,ATLANTIC UNION BANKSHARES CORP,Financials
ITGR,INTEGER HOLDINGS CORP,Health Care
BE,BLOOM ENERGY CLASS A CORP,Industrials
THRM,GENTHERM INC,Consumer Discretionary
SITC,SITE CENTERS CORP,Real Estate
CNX,CNX RESOURCES CORP,Energy
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care
VC,VISTEON CORP,Consumer Discretionary
ZNTL,ZENTALIS PHARMACEUTICALS INC,Health Care
TROX,TRONOX HOLDINGS PLC,Materials
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary
AAON,AAON INC,Industrials
PDCO,PATTERSON COMPANIES INC,Health Care
EVTC,EVERTEC INC,Information Technology
FIX,COMFORT SYSTEMS USA INC,Industrials
NARI,INARI MEDICAL INC,Health Care
UFS,DOMTAR CORP,Materials
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy
FORM,FORMFACTOR INC,Information Technology
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary
IBTX,INDEPENDENT BANK GROUP INC,Financials
MLHR,HERMAN MILLER INC,Industrials
RETA,REATA PHARMACEUTICALS INC CLASS A,Health Care
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities
PIPR,PIPER SANDLER COMPANIES,Financials
CYRX,CRYOPORT INC,Health Care
MDC,MDC HOLDINGS INC,Consumer Discretionary
SSTK,SHUTTERSTOCK INC,Consumer Discretionary
TEX,TEREX CORP,Industrials
EXPI,EXP WORLD HOLDINGS INC,Real Estate
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials
RCM,R1 RCM INC,Health Care
SITM,SITIME CORP,Information Technology
YELP,YELP INC,Communication
MGEE,MGE ENERGY INC,Utilities
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials
FBC,FLAGSTAR BANCORP INC,Financials
SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate
BECN,BEACON ROOFING SUPPLY INC,Industrials
HL,HECLA MINING,Materials
HLIO,HELIOS TECHNOLOGIES INC,Industrials
AMEH,APOLLO MEDICAL HOLDINGS INC,Health Care
AGIO,AGIOS PHARMACEUTICALS INC,Health Care
CADE,CADENCE BANCORPORATION CLASS A,Financials
ONB,OLD NATIONAL BANCORP,Financials
BDC,BELDEN INC,Information Technology
KW,KENNEDY WILSON HOLDINGS INC,Real Estate
WERN,WERNER ENTERPRISES INC,Industrials
ITCI,INTRA CELLULAR THERAPIES INC,Health Care
DORM,DORMAN PRODUCTS INC,Consumer Discretionary
DOOR,MASONITE INTERNATIONAL CORP,Industrials
CDLX,CARDLYTICS INC,Communication
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Financials
BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care
FBP,FIRST BANCORP,Financials
FULT,FULTON FINANCIAL CORP,Financials
CVBF,CVB FINANCIAL CORP,Financials
KRTX,KARUNA THERAPEUTICS INC,Health Care
ENR,ENERGIZER HOLDINGS INC,Consumer Staples
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples
ABR,ARBOR REALTY TRUST REIT INC,Financials
AVA,AVISTA CORP,Utilities
UNFI,UNITED NATURAL FOODS INC,Consumer Staples
SKYW,SKYWEST INC,Industrials
EGHT,8X8 INC - COM,Information Technology
EVH,EVOLENT HEALTH INC CLASS A,Health Care
PLXS,PLEXUS CORP,Information Technology
COLB,COLUMBIA BANKING SYSTEM INC,Financials
CNNE,CANNAE HOLDINGS INC,Financials
SCL,STEPAN,Materials
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary
EDIT,EDITAS MEDICINE INC,Health Care
NKLA,NIKOLA,Industrials
INDB,INDEPENDENT BANK CORP,Financials
TPH,TRI POINTE HOMES INC,Consumer Discretionary
CWK,CUSHMAN AND WAKEFIELD PLC,Real Estate
PTCT,PTC THERAPEUTICS INC,Health Care
SAVE,SPIRIT AIRLINES INC,Industrials
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology
TBK,TRIUMPH BANCORP INC,Financials
ARRY,ARRAY TECHNOLOGIES INC,Industrials
SPXC,SPX CORP,Industrials
KTB,KONTOOR BRANDS INC,Consumer Discretionary
PRMW,PRIMO WATER CORP,Consumer Staples
HSKA,HESKA CORP,Health Care
SANM,SANMINA CORP,Information Technology
IHRT,IHEARTMEDIA INC CLASS A,Communication
EBS,EMERGENT BIOSOLUTIONS INC,Health Care
ACA,ARCOSA INC,Industrials
AVIR,ATEA PHARMACEUTICALS INC,Health Care
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials
FSS,FEDERAL SIGNAL CORP,Industrials
RLJ,RLJ LODGING TRUST REIT,Real Estate
WSFS,WSFS FINANCIAL CORP,Financials
VIR,VIR BIOTECHNOLOGY INC,Health Care
MYGN,MYRIAD GENETICS INC,Health Care
WWW,WOLVERINE WORLD WIDE INC,Consumer Discretionary
WLL,WHITING PETROLEUM CORP,Energy
WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary
GDOT,GREEN DOT CORP CLASS A,Financials
UCBI,UNITED COMMUNITY BANKS INC,Financials
CVA,COVANTA HOLDING CORP,Industrials
BIGC,BIGCOMMERCE HOLDINGS INC SERIES,Information Technology
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials
HUBG,HUB GROUP INC CLASS A,Industrials
VSTO,VISTA OUTDOOR INC,Consumer Discretionary
BRC,BRADY NONVOTING CORP CLASS A,Industrials
MLI,MUELLER INDUSTRIES INC,Industrials
WAFD,WASHINGTON FEDERAL INC,Financials
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary
BDN,BRANDYWINE REALTY TRUST REIT,Real Estate
WSBC,WESBANCO INC,Financials
RMBS,RAMBUS INC,Information Technology
REGI,RENEWABLE ENERGY INC,Energy
ROCK,GIBRALTAR INDUSTRIES INC,Industrials
MTX,MINERALS TECHNOLOGIES INC,Materials
OTTR,OTTER TAIL CORP,Utilities
TWNK,HOSTESS BRANDS INC CLASS A,Consumer Staples
TWOU,2U INC,Consumer Discretionary
CLDX,CELLDEX THERAPEUTICS INC,Health Care
ONEM,1LIFE HEALTHCARE INC,Health Care
CMP,COMPASS MINERALS INTERNATIONAL INC,Materials
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate
HCAT,HEALTH CATALYST INC,Health Care
FLR,FLUOR CORP,Industrials
RVLV,REVOLVE GROUP CLASS A INC,Consumer Discretionary
DOMO,DOMO INC CLASS B,Information Technology
APPF,APPFOLIO INC CLASS A,Information Technology
SJI,S JERSEY INDS INC,Utilities
MP,MP MATERIALS CORP CLASS A,Materials
MDP,MEREDITH CORP,Communication
SDGR,SCHRODINGER INC,Health Care
CSTM,CONSTELLIUM SE CLASS A,Materials
KAI,KADANT INC,Industrials
FRME,FIRST MERCHANTS CORP,Financials
OMI,OWENS & MINOR INC,Health Care
FSR,FISKER INC CLASS A,Consumer Discretionary
UNIT,UNITI GROUP INC,Real Estate
OI,O I GLASS INC,Materials
MOGA,MOOG INC CLASS A,Industrials
PRTA,PROTHENA PLC,Health Care
WHD,CACTUS INC CLASS A,Energy
PDM,PIEDMONT OFFICE REALTY TRUST REIT,Real Estate
AMKR,AMKOR TECHNOLOGY INC,Information Technology
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Industrials
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary
FWRD,FORWARD AIR CORP,Industrials
MGLN,MAGELLAN HEALTH INC,Health Care
BCC,BOISE CASCADE,Industrials
TRN,TRINITY INDUSTRIES INC,Industrials
IBOC,INTERNATIONAL BANCSHARES CORP,Financials
IRBT,IROBOT CORP,Consumer Discretionary
JWA,JOHN WILEY AND SONS INC CLASS A,Communication
PCRX,PACIRA BIOSCIENCES INC,Health Care
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary
OM,OUTSET MEDICAL INC,Health Care
JJSF,J AND J SNACK FOODS CORP,Consumer Staples
FCEL,FUELCELL ENERGY INC,Industrials
VCEL,VERICEL CORP,Health Care
SKIN,BEAUTY HEALTH COMPANY CLASS A CLAS,Consumer Staples
CPE,CALLON PETROLEUM,Energy
SASR,SANDY SPRING BANCORP INC,Financials
IRT,INDEPENDENCE REALTY INC TRUST,Real Estate
ARCB,ARCBEST CORP,Industrials
MED,MEDIFAST INC,Consumer Staples
CXP,COLUMBIA PROPERTY REIT INC TRUST,Real Estate
MANT,MANTECH INTERNATIONAL CORP CLASS A,Industrials
SPWR,SUNPOWER CORP,Information Technology
APLS,APELLIS PHARMACEUTICALS INC,Health Care
OCDX,ORTHO CLINICAL DIAGNOSTICS HOLDING,Health Care
WRE,WASHINGTON REAL ESTATE INVESTMENT,Real Estate
HTH,HILLTOP HOLDINGS INC,Financials
TSE,TRINSEO SA,Materials
RLGY,REALOGY HOLDINGS CORP,Real Estate
VRTS,VIRTUS INVESTMENT PARTNERS INC,Financials
ROIC,RETAIL OPPORTUNITY INVESTMENTS REI,Real Estate
TOWN,TOWNEBANK,Financials
CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials
RIOT,RIOT BLOCKCHAIN INC,Information Technology
NMRK,NEWMARK GROUP INC CLASS A,Real Estate
CNK,CINEMARK HOLDINGS INC,Communication
FFBC,FIRST FINANCIAL BANCORP,Financials
PRGS,PROGRESS SOFTWARE CORP,Information Technology
XNCR,XENCOR INC,Health Care
ARI,APOLLO COMMERCIAL REAL ESTATE FINA,Financials
EAF,GRAFTECH INTERNATIONAL LTD,Industrials
LOB,LIVE OAK BANCSHARES INC,Financials
FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate
EVRI,EVERI HOLDINGS INC,Consumer Discretionary
GKOS,GLAUKOS CORP,Health Care
UE,URBAN EDGE PROPERTIES,Real Estate
TPTX,TURNING POINT THERAPEUTICS INC,Health Care
BLMN,BLOOMIN BRANDS INC,Consumer Discretionary
ACAD,ACADIA PHARMACEUTICALS INC,Health Care
CPK,CHESAPEAKE UTILITIES CORP,Utilities
TTGT,TECHTARGET INC,Communication
FMBI,FIRST MIDWEST BANCORP INC,Financials
CNS,COHEN & STEERS INC,Financials
INT,WORLD FUEL SERVICES CORP,Energy
SNBR,SLEEP NUMBER CORP,Consumer Discretionary
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary
JELD,JELD WEN HOLDING INC,Industrials
AMRS,AMYRIS INC,Materials
JACK,JACK IN THE BOX INC,Consumer Discretionary
ATI,ALLEGHENY TECHNOLOGIES INC,Materials
MODV,MODIVCARE INC,Health Care
TWO,TWO HARBORS INVESTMENT REIT CORP,Financials
WIRE,ENCORE WIRE CORP,Industrials
IOSP,INNOSPEC INC,Materials
IDCC,INTERDIGITAL INC,Information Technology
ESE,ESCO TECHNOLOGIES INC,Industrials
GNW,GENWORTH FINANCIAL A INC,Financials
THS,TREEHOUSE FOODS INC,Consumer Staples
RAVN,RAVEN INDUSTRIES INC,Industrials
MFA,MFA FINANCIAL REIT INC,Financials
MAXR,MAXAR TECHNOLOGIES INC,Industrials
ODP,ODP CORP,Consumer Discretionary
DY,DYCOM INDUSTRIES INC,Industrials
URBN,URBAN OUTFITTERS INC,Consumer Discretionary
CORT,CORCEPT THERAPEUTICS INC,Health Care
B,BARNES GROUP INC,Industrials
RNST,RENASANT CORP,Financials
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials
NMIH,NMI HOLDINGS INC CLASS A,Financials
HTLF,HEARTLAND FINANCIAL USA INC,Financials
XHR,XENIA HOTELS RESORTS REIT INC,Real Estate
MD,MEDNAX INC,Health Care
OAS,OASIS PETROLEUM INC,Energy
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care
PJT,PJT PARTNERS INC CLASS A,Financials
NUS,NU SKIN ENTERPRISES INC CLASS A,Consumer Staples
ZUO,ZUORA INC CLASS A,Information Technology
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,Financials
IRWD,IRONWOOD PHARMA INC CLASS A,Health Care
SFIX,STITCH FIX INC CLASS A,Consumer Discretionary
SAVA,CASSAVA SCIENCES INC,Health Care
GTN,GRAY TELEVISION INC,Communication
AVAV,AEROVIRONMENT INC,Industrials
TRMK,TRUSTMARK CORP,Financials
BFLY,BUTTERFLY NETWORK INC CLASS A,Health Care
CSWI,CSW INDUSTRIALS INC,Industrials
VRRM,VERRA MOBILITY CORP CLASS A,Information Technology
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate
VGR,VECTOR GROUP LTD,Consumer Staples
NSTG,NANOSTRING TECHNOLOGIES INC,Health Care
