Ticker,Name,Description,Mrkt Cap,Sector
ABUS,Arbutus Biopharma,Biotechnology,526.20M,Healthcare
ABVC,ABVC BioPharma,Biotechnology,96.99M,Healthcare
AC,Associated Capital Group,Capital Markets,948.50M,Financials
ACA,Arcosa,Construction & Engineering,2.55B,Industrial
ACAD,ACADIA Pharmaceuticals,Biotechnology,3.75B,Healthcare
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420.90M,SPAC
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,277.41M,SPAC
ACB,Aurora Cannabis,Pharmaceuticals,1.07B,Healthcare
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61.45M,SPAC
ACBI,Atlantic Capital Bancshares,Banks,584.17M,Financials
ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.97B,Real Estate
ACCD,Accolade,Health Care Technology,1.76B,Healthcare
ACCO,ACCO Brands,Commercial Services & Supplies,790.74M,Industrial
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.22B,Discretionary
ACER,Acer Therapeutics,Pharmaceuticals,32.63M,Healthcare
ACET,Adicet Bio,Health Care Providers & Services,684.61M,Healthcare
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.35M,SPAC
ACGL,Arch Capital Group,Insurance,17.16B,Financials
ACH,Aluminum Corporation of China,Metals & Mining,14.69B,Materials
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.46B,Healthcare
ACHL,Achilles Therapeutics,Biotechnology,203.42M,Healthcare
ACHR,Archer Aviation,Aerospace & Defense,1.43B,Industrial
ACHV,Achieve Life Sciences,Biotechnology,73.55M,Healthcare
ACI,Albertsons Companies,Grocery Stores,14.10B,Staples
ACII,Atlas Crest Investment II,Blank Check / SPAC,419.61M,SPAC
ACIU,AC Immune,Biotechnology,359.63M,Healthcare
ACIW,ACI Worldwide,Software,4.08B,Information Technology
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,154.43M,SPAC
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2.48B,Information Technology
ACM,AECOM,Construction & Engineering,11.00B,Industrial
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1.66B,Information Technology
ACN,Accenture,IT Services,262.21B,Information Technology
ACNB,ACNB Corporation,Banks,271.98M,Financials
ACOR,Acorda Therapeutics,Biotechnology,26.77M,Healthcare
ACQR,Independence Holdings,Blank Check / SPAC,601.72M,SPAC
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trus...,117.51M,Real Estate
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trus...,683.41M,Real Estate
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,364.50M,SPAC
ACRS,Aclaris Therapeutics,Pharmaceuticals,890.24M,Healthcare
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,66.84M,Healthcare
ACST,Acasti Pharma,Pharmaceuticals,56.27M,Healthcare
ACT,Enact Holdings,Insurance-Specialty,3.37B,Financials
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,388.18M,SPAC
ACTG,Acacia Research,Professional Services,254.41M,Services
ACU,Acme United,Commercial Services & Supplies,119.96M,Industrial
ACVA,ACV Auctions,Software-Application,2.93B,Information Technology
ACXP,Acurx Pharmaceuticals,Biotechnology,44.15M,Healthcare
ACY,AeroCentury,Trading Companies & Distributors,263.68M,Industrials
ADAG,Adagene,Biotechnology,351.59M,Healthcare
ADAP,Adaptimmune Therapeutics,Biotechnology,585.76M,Healthcare
ADBE,Adobe,Software,269.81B,Information Technology
ADC,Agree Realty,Equity Real Estate Investment Trusts...,5.09B,Real Estate
ADCT,ADC Therapeutics,Communications Equipment,1.55B,Industrial
ADER,26 Capital Acquisition,Blank Check / SPAC,338.59M,SPAC
ADES,Advanced Emissions Solutions,Chemicals,124.89M,Materials
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,341.55M,SPAC
ADGI,Adagio Therapeutics,Biotechnology,807.69M,Healthcare
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,92.34B,Information Technology
ADIL,Adial Pharmaceuticals,Pharmaceuticals,56.56M,Healthcare
ADM,Archer-Daniels-Midland Company,Food Products,37.81B,Staples
ADMA,ADMA Biologics,Biotechnology,276.10M,Healthcare
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,90.08M,Healthcare
ADN,Advent Technologies Holdings,Utilities-Renewable,359.29M,Utilities
ADNT,Adient,Auto Components,4.52B,Industrial
ADOC,Edoc Acquisition,Blank Check / SPAC,120.52M,SPAC
ADP,Automatic Data Processing,IT Services,103.90B,Information Technology
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,3.96B,Healthcare
ADRA,Adara Acquisition,Blank Check / SPAC,140.73M,SPAC
ADS,Alliance Data Systems,IT Services,3.31B,Information Technology
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,164.60M,Industrial
ADSK,Autodesk,Software,61.85B,Information Technology
ADT,ADT Inc.,Commercial Services & Supplies,6.99B,Industrial
ADTH,AdTheorent Holding Company,Advertising Agencies,255.34M,Communication
ADTN,ADTRAN,Communications Equipment,1.11B,Industrial
ADTX,Aditx,Biotechnology,23.32M,Healthcare
ADUS,Addus HomeCare,Health Care Providers & Services,1.49B,Healthcare
ADV,Advantage Solutions,Advertising Agencies,2.55B,Communication
ADVM,Adverum Biotechnologies,Biotechnology,172.75M,Healthcare
ADXN,Addex Therapeutics,Biotechnology,38.85M,Healthcare
ADXS,Advaxis,Biotechnology,22.66M,Healthcare
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",121.11M,Energy
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.80M,SPAC
AEAE,AltEnergy Acquisition,Blank Check / SPAC,246.25M,SPAC
AEE,Ameren,Multi-Utilities,22.93B,Utilities
AEG,Aegon,Insurance,9.99B,Financials
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,125.87M,SPAC
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,9.44M,Industrial
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,642.15M,Information Technology
AEI,Alset EHome International,Real Estate-Development,40.26M,Real Estate
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.43B,Information Technology
AEL,American Equity Investment Life Holding Company,Insurance,3.60B,Financials
AEM,Agnico Eagle Mines,Metals & Mining,13.01B,Materials
AEMD,Aethlon Medical,Health Care Equipment & Supplies,28.64M,Healthcare
AENZ,Aenza,Engineering & Construction,296.14M,Industrial
AEO,American Eagle Outfitters,Specialty Retail,4.27B,Discretionary
AEP,American Electric Power Company,Electric Utilities,44.16B,Utilities
AER,AerCap Holdings,Trading Companies & Distributors,16.02B,Industrials
AERC,AeroClean Technologies,Pollution & Treatment Controls,145.15M,Industrials
AERI,Aerie Pharmaceuticals,Pharmaceuticals,332.45M,Healthcare
AES,The AES Corporation,Independent Power and Renewable Elect...,16.20B,Energy
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",66.93M,Discretionary
AEVA,Aeva Technologies,Auto Parts,1.62B,Industrial
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",22.04M,Industrial
AEYE,AudioEye,Software,79.71M,Information Technology
AEZS,AEterna Zentaris,Biotechnology,43.32M,Healthcare
AFAQ,AF Acquisition,Blank Check / SPAC,272.16M,SPAC
AFBI,Affinity Bancshares,Banks,105.84M,Financials
AFCG,AFC Gamma,REIT-Specialty,374.24M,Real Estate
AFG,American Financial Group,Insurance,11.65B,Financials
AFI,Armstrong Flooring,Building Products,42.98M,Industrial
AFIB,Acutus Medical,Medical Devices,95.32M,Healthcare
AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,1.13B,Real Estate
AFL,Aflac,Insurance,38.63B,Financials
AFMD,Affimed,Biotechnology,661.28M,Healthcare
AFRM,Affirm Holdings,IT Services,28.26B,Information Technology
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,304.69M,SPAC
AFYA,Afya Limited,Diversified Consumer Services,1.46B,Discretionary
AG,First Majestic Silver,Metals & Mining,2.85B,Materials
AGAC,African Gold Acquisition,Blank Check / SPAC,500.94M,SPAC
AGBA,AGBA Acquisition,Blank Check / SPAC,55.34M,SPAC
AGCB,Altimeter Growth 2,Blank Check / SPAC,576.32M,SPAC
AGCO,AGCO Corporation,Machinery,8.68B,Industrials
AGE,AgeX Therapeutics,Biotechnology,22.34M,Healthcare
AGEN,Agenus,Biotechnology,827.00M,Healthcare
AGFS,AgroFresh Solutions,Chemicals,104.17M,Materials
AGFY,Agrify,Machinery,195.69M,Industrials
AGGR,Agile Growth,Blank Check / SPAC,376.65M,SPAC
AGI,Alamos Gold,Metals & Mining,3.01B,Materials
AGIL,AgileThought,Software-Application,214.19M,Information Technology
AGIO,Agios Pharmaceuticals,Biotechnology,1.79B,Healthcare
AGL,agilon health,Medical Care Facilities,10.63B,Healthcare
AGLE,Aeglea Biotherapeutics,Biotechnology,234.27M,Healthcare
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1.33B,Financials
AGM.A,Federal Agricultural Mortgage,Credit Services,1.33B,Financials
AGMH,AGM Group Holdings,Capital Markets,51.26M,Financials
AGNC,AGNC Investment,Mortgage Real Estate Investment Trus...,7.89B,Real Estate
AGO,Assured Guaranty,Insurance,3.51B,Financials
AGR,Avangrid,Electric Utilities,19.31B,Utilities
AGRI,AgriFORCE Growing Systems,Farm Products,31.32M,Industrial
AGRO,Adecoagro,Food Products,865.47M,Staples
AGRX,Agile Therapeutics,Pharmaceuticals,59.25M,Healthcare
AGS,PlayAGS,"Hotels, Restaurants & Leisure",250.75M,Discretionary
AGTC,Applied Genetic Technologies,Biotechnology,81.44M,Healthcare
AGTI,Agiliti,Health Information Services,3.03B,Healthcare
AGX,Argan,Construction & Engineering,608.00M,Industrial
AGYS,Agilysys,Software,1.09B,Information Technology
AHCO,AdaptHealth,Health Care Providers & Services,3.23B,Healthcare
AHG,Akso Health Group,Credit Services,80.09M,Financials
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts...,936.11M,Real Estate
AHI,Advanced Human Imaging,Software-Application,46.64M,Information Technology
AHPA,Avista Public Acquisition II,Blank Check / SPAC,287.50M,SPAC
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,23.36M,Healthcare
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts...,325.01M,Real Estate
AI,C3.ai,Software,3.28B,Information Technology
AIG,American International Group,Insurance,47.21B,Financials
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,82.12M,Healthcare
AIHS,Senmiao Technology,Consumer Finance,22.86M,Financials
AIKI,AIkido Pharma,Biotechnology,52.64M,Healthcare
AIM,AIM ImmunoTech,Biotechnology,44.02M,Healthcare
AIMC,Altra Industrial Motion,Machinery,3.35B,Industrials
AIN,Albany International,Machinery,2.86B,Industrials
AINC,Ashford,Capital Markets,50.33M,Financials
AINV,Apollo Investment,Capital Markets,823.10M,Financials
AIP,Arteris,Semiconductors,633.23M,Information Technology
AIR,AAR Corp.,Aerospace & Defense,1.38B,Industrial
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts...,8.58B,Real Estate
AIRG,Airgain,"Electronic Equipment, Instruments & C...",107.31M,Industrial
AIRI,Air Industries Group,Aerospace & Defense,29.14M,Industrial
AIRS,AirSculpt Technologies,Medical Care Facilities,956.45M,Healthcare
AIRT,Air T,Air Freight & Logistics,72.48M,Industrial
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3.95B,Industrials
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts...,1.18B,Real Estate
AIZ,Assurant,Insurance,8.88B,Financials
AJG,Arthur J. Gallagher & Company,Insurance,35.17B,Financials
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3.76B,Industrial
AJX,Great Ajax,Mortgage Real Estate Investment Trus...,304.56M,Real Estate
AKA,a.k.a. Brands Holding,Internet Retail,1.19B,Information Technology
AKAM,Akamai Technologies,IT Services,19.02B,Information Technology
AKBA,Akebia Therapeutics,Biotechnology,395.41M,Healthcare
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,286.45M,SPAC
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.91B,Discretionary
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2.03B,Discretionary
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts...,1.93B,Real Estate
AKRO,Akero Therapeutics,Biotechnology,737.89M,Healthcare
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",347.66M,Industrial
AKTX,Akari Therapeutics,Pharmaceuticals,71.40M,Healthcare
AKU,Akumin,Diagnostics & Research,155.80M,Healthcare
AKUS,Akouos,Biotechnology,293.20M,Healthcare
AKYA,Akoya Biosciences,Medical Instruments & Supplies,569.65M,Healthcare
AL,Air Lease,Trading Companies & Distributors,5.04B,Industrials
ALAC,Alberton Acquisition,Blank Check / SPAC,52.37M,SPAC
ALB,Albemarle,Chemicals,27.35B,Materials
ALBO,Albireo Pharma,Biotechnology,449.00M,Healthcare
ALC,Alcon,Medical Instruments & Supplies,43.29B,Healthcare
ALCC,AltC Acquisition,Blank Check / SPAC,629.91M,SPAC
ALCO,Alico,Food Products,279.06M,Staples
ALDX,Aldeyra Therapeutics,Biotechnology,232.37M,Healthcare
ALE,ALLETE,Electric Utilities,3.49B,Utilities
ALEC,Alector,Biotechnology,1.68B,Healthcare
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts...,1.82B,Real Estate
ALF,"ALFI, Inc.",Software-Infrastructure,37.20M,Information Technology
ALG,Alamo Group,Machinery,1.75B,Industrials
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,6.86B,Information Technology
ALGN,Align Technology,Health Care Equipment & Supplies,51.82B,Healthcare
ALGS,Aligos Therapeutics,Biotechnology,505.85M,Healthcare
ALGT,Allegiant Travel Company,Airlines,3.38B,Industrial
ALHC,Alignment Healthcare,Health Care Providers & Services,2.63B,Healthcare
ALIM,Alimera Sciences,Pharmaceuticals,35.59M,Healthcare
ALIT,Alight,Software-Application,4.99B,Information Technology
ALJJ,ALJ Regional Holdings,IT Services,77.18M,Information Technology
ALK,Alaska Air Group,Airlines,6.53B,Industrial
ALKS,Alkermes,Biotechnology,3.76B,Healthcare
ALKT,Alkami Technology,Software-Application,1.77B,Information Technology
ALL,The Allstate Corporation,Insurance,33.73B,Financials
ALLE,Allegion,Building Products,11.88B,Industrial
ALLK,Allakos,Biotechnology,531.73M,Healthcare
ALLO,Allogene Therapeutics,Biotechnology,2.13B,Healthcare
ALLR,Allarity Therapeutics,Pharmaceutical Preparations,83.78M,Healthcare
ALLT,Allot,Software,432.50M,Information Technology
ALLY,Ally Financial,Consumer Finance,16.49B,Financials
ALNA,Allena Pharmaceuticals,Biotechnology,50.58M,Healthcare
ALNY,Alnylam Pharmaceuticals,Biotechnology,20.28B,Healthcare
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",97.96M,Information Technology
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,184.75M,SPAC
ALPN,Alpine Immune Sciences,Biotechnology,404.70M,Healthcare
ALPP,Alpine 4 Holdings,Metal Fabrication,343.66M,Materials
ALRM,Alarm.com Holdings,Software,4.25B,Information Technology
ALRN,Aileron Therapeutics,Biotechnology,50.98M,Healthcare
ALRS,Alerus Financial,Diversified Financial Services,503.85M,Financials
ALSN,Allison Transmission Holdings,Machinery,3.79B,Industrials
ALT,Altimmune,Biotechnology,364.01M,Healthcare
ALTG,Alta Equipment Group,Trading Companies & Distributors,473.80M,Industrials
ALTM,Altus Midstream Company,"Oil, Gas & Consumable Fuels",229.70M,Energy
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",350.17M,Energy
ALTR,Altair Engineering,Software,6.10B,Information Technology
ALTU,Altitude Acquisition,Blank Check / SPAC,371.25M,SPAC
ALV,Autoliv,Auto Components,9.05B,Industrial
ALVR,AlloVir,Biotechnology,842.92M,Healthcare
ALX,Alexander's,Equity Real Estate Investment Trusts...,1.33B,Real Estate
ALXO,ALX Oncology Holdings,Biotechnology,870.33M,Healthcare
ALYA,Alithya Group,IT Services,213.08M,Information Technology
ALZN,Alzamend Neuro,Biotechnology,168.82M,Healthcare
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.62B,Energy
AMAL,Amalgamated Financial,Banks,521.50M,Financials
AMAM,Ambrx Biopharma,Biotechnology,315.65M,Healthcare
AMAO,American Acquisition Opportunity,Blank Check / SPAC,135.48M,SPAC
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,139.82B,Information Technology
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,7.51B,Information Technology
AMBC,Ambac Financial Group,Insurance,743.18M,Financials
AMBO,Ambow Education Holding,Diversified Consumer Services,21.45M,Discretionary
AMBP,Ardagh Metal Packaging,Packaging & Containers,5.80B,Materials
AMC,AMC Entertainment Holdings,Entertainment,13.96B,Communication
AMCI,AMCI Acquisition II,Blank Check / SPAC,181.12M,SPAC
AMCR,Amcor,Containers & Packaging,18.41B,Materials
AMCX,AMC Networks,Media,1.46B,Communication
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,173.78B,Information Technology
AME,AMETEK,Electrical Equipment,34.01B,Industrial
AMED,Amedisys,Health Care Providers & Services,5.28B,Healthcare
AMEH,Apollo Medical Holdings,Health Care Providers & Services,4.08B,Healthcare
AMG,Affiliated Managers Group,Capital Markets,6.69B,Financials
AMGN,Amgen,Biotechnology,126.72B,Healthcare
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,14.58B,Real Estate
AMK,AssetMark Financial Holdings,Capital Markets,1.93B,Financials
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,6.06B,Information Technology
AMN,AMN Healthcare Services,Health Care Providers & Services,5.78B,Healthcare
AMNB,American National Bankshares,Banks,406.14M,Financials
AMOT,Allied Motion Technologies,Electrical Equipment,542.03M,Industrial
AMOV,America Movil,Wireless Telecommunication Services,68.13B,Information Technology
AMP,Ameriprise Financial,Capital Markets,33.75B,Financials
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,129.46M,Healthcare
AMPG,AmpliTech Group,Communication Equipment,37.75M,Industrial
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.11B,Healthcare
AMPI,Advanced Merger Partners,Blank Check / SPAC,349.16M,SPAC
AMPL,Amplitude,Software-Application,5.76B,Information Technology
AMPS,Altus Power,Shell Companies,441.64M,Financials
AMPY,Amplify Energy,Oil & Gas E&P,118.25M,Energy
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",1.12B,Energy
AMRC,Ameresco,Construction & Engineering,4.20B,Industrial
AMRK,A-Mark Precious Metals,Diversified Financial Services,693.61M,Financials
AMRN,Amarin,Biotechnology,1.33B,Healthcare
AMRS,Amyris,Chemicals,1.67B,Materials
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,715.49M,Healthcare
AMS,American Shared Hospital Services,Health Care Providers & Services,13.91M,Healthcare
AMSC,American Superconductor,Electrical Equipment,308.94M,Industrial
AMSF,AMERISAFE,Insurance,1.04B,Financials
AMST,Amesite,Software-Application,22.65M,Information Technology
AMSWA,American Software,Software,876.64M,Information Technology
AMT,American Tower,Equity Real Estate Investment Trusts...,133.21B,Real Estate
AMTB,Amerant Bancorp,Banks,1.28B,Financials
AMTI,Applied Molecular Transport,Biotechnology,538.08M,Healthcare
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",409.46M,Energy
AMWD,American Woodmark,Building Products,1.08B,Industrial
AMWL,American Well,Health Information Services,1.57B,Healthcare
AMX,America Movil,Wireless Telecommunication Services,68.32B,Information Technology
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,690.46M,Healthcare
AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,691.00B",Information Technology
AN,AutoNation,Specialty Retail,7.66B,Discretionary
ANAB,AnaptysBio,Biotechnology,960.65M,Healthcare
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M,SPAC
ANAT,American National Group,Insurance,5.08B,Financials
ANDE,The Andersons,Food & Staples Retailing,1.29B,Staples
ANEB,Anebulo Pharmaceuticals,Biotechnology,143.57M,Healthcare
ANET,Arista Networks,Communications Equipment,44.17B,Industrial
ANF,Abercrombie & Fitch Company,Specialty Retail,1.97B,Discretionary
ANGI,Angi Inc.,Interactive Media & Services,4.63B,Information Technology
ANGN,Angion Biomedica,Biotechnology,86.87M,Healthcare
ANGO,AngioDynamics,Health Care Equipment & Supplies,1.07B,Healthcare
ANIK,Anika Therapeutics,Biotechnology,517.27M,Healthcare
ANIP,ANI Pharmaceuticals,Pharmaceuticals,768.14M,Healthcare
ANIX,Anixa Biosciences,Biotechnology,88.95M,Healthcare
ANNX,Annexon,Biotechnology,440.93M,Healthcare
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,21.67M,Healthcare
ANSS,ANSYS,Software,35.00B,Information Technology
ANTE,AirNet Technology,Media,27.05M,Communication
ANTM,Anthem,Health Care Providers & Services,112.51B,Healthcare
ANVS,Annovis Bio,Biotechnology,142.41M,Healthcare
ANY,Sphere 3D,Software,196.66M,Information Technology
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517.44M,SPAC
AOMR,Angel Oak Mortgage,REIT-Mortgage,414.94M,Real Estate
AON,Aon plc,Insurance,66.22B,Financials
AOS,A. O. Smith,Building Products,13.66B,Industrial
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1.60B,Information Technology
AOUT,American Outdoor Brands,Leisure Products,282.71M,Discretionary
AP,Ampco-Pittsburgh,Metals & Mining,95.47M,Materials
APA,APA Corporation,"Oil, Gas & Consumable Fuels",9.77B,Energy
APAC,Stonebridge Acquisition,Blank Check / SPAC,246.25M,SPAC
APAM,Artisan Partners Asset Management,Capital Markets,3.11B,Financials
APD,Air Products & Chemicals,Chemicals,67.45B,Materials
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",30.09M,Industrial
APEI,American Public Education,Diversified Consumer Services,416.28M,Discretionary
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,332.92M,Healthcare
APG,APi Group,Construction & Engineering,5.79B,Industrial
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,843.52M,SPAC
APH,Amphenol,"Electronic Equipment, Instruments & C...",52.30B,Industrial
API,Agora,"Electronic Equipment, Instruments & C...",1.88B,Industrial
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts...,3.69B,Real Estate
APLS,Apellis Pharmaceuticals,Biotechnology,4.60B,Healthcare
APLT,Applied Therapeutics,Biotechnology,234.63M,Healthcare
APM,Aptorum Group,Biotechnology,53.44M,Healthcare
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,184.12M,SPAC
APO,Apollo Global Management,Capital Markets,31.35B,Financials
APOG,Apogee Enterprises,Building Products,1.22B,Industrial
APP,AppLovin,Software-Application,35.27B,Information Technology
APPF,AppFolio,Software,4.20B,Information Technology
APPH,AppHarvest,Farm Products,392.67M,Industrial
APPN,Appian,Software,4.64B,Information Technology
APPS,Digital Turbine,Software,5.89B,Information Technology
APR,Apria,Medical Instruments & Supplies,1.16B,Healthcare
APRE,Aprea Therapeutics,Biotechnology,61.60M,Healthcare
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,212.47M,Information Technology
APSG,Apollo Strategic Growth Capital,Shell Companies,1.01B,Financials
APT,Alpha Pro Tech,Building Products,79.00M,Industrial
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,310.89M,SPAC
APTO,Aptose Biosciences,Biotechnology,120.69M,Healthcare
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts...,956.21M,Real Estate
APTV,Aptiv,Auto Components,44.62B,Industrial
APTX,Aptinyx,Biotechnology,180.80M,Healthcare
APVO,Aptevo Therapeutics,Biotechnology,38.55M,Healthcare
APWC,Asia Pacific Wire & Cable,Electrical Equipment,28.19M,Industrial
APYX,Apyx Medical,Health Care Equipment & Supplies,440.29M,Healthcare
AQB,AquaBounty Technologies,Biotechnology,149.15M,Healthcare
AQMS,Aqua Metals,Commercial Services & Supplies,85.89M,Industrial
AQN,Algonquin Power & Utilities,Multi-Utilities,9.71B,Utilities
AQST,Aquestive Therapeutics,Pharmaceuticals,156.24M,Healthcare
AQUA,Evoqua Water Technologies,Machinery,5.64B,Industrials
AR,Antero Resources,"Oil, Gas & Consumable Fuels",5.49B,Energy
ARAV,Aravive,Biotechnology,45.93M,Healthcare
ARAY,Accuray,Health Care Equipment & Supplies,433.68M,Healthcare
ARBE,Arbe Robotics,Software-Infrastructure,577.86M,Information Technology
ARBG,Aequi Acquisition,Blank Check / SPAC,281.46M,SPAC
ARBK,Argo Blockchain,Capital Markets,617.84M,Financials
ARC,ARC Document Solutions,Commercial Services & Supplies,150.94M,Industrial
ARCB,ArcBest,Road & Rail,3.06B,Industrials
