Company,Ticker,Sector
Comair Limited,COM.JO,Travel & Leisure
Combined Motor Holdings Limited,CMH.JO,General Retailers
Command Holdings Limited,CMA.JO,General Retailers
Compagnie Financiere Richemont SA,CFR.JO,Personal Goods
Conduit Capital Limited,CND.JO,Nonlife Insurance
Consolidated Infrastructure Group Ltd,CIL.JO,Construction & Materials
Coronation Fund Managers Limited,CML.JO,Financial Services
Crookes Brothers Limited,CKS.JO,Food Producers
CSG Holdings Limited,CSG.JO,Support Services
Cullinan Holdings Limited,CUL.JO,Travel & Leisure
Curro Holdings Limited,COH.JO,General Retailers
Datatec Limited,DTC.JO,Technology Hardware & Equipment
Delrand Resources Limited,DRN.JO,Industrial Metals & Mining
Delta EMD Limited,DTA.JO,Electronic & Electrical Equipment
Delta Property Fund Limited,DLT.JO,Real Estate Investment Trusts
Deneb Investments Limited,DNB.JO,Financial Services
Diamondcorp Plc,DMC.JO,Industrial Metals & Mining
Dipula Income Fund Limited,DIA.JO,Real Estate Investment Trusts
Dis-Chem Pharmacies,DCP.JO,Food & Drug Retailers
Discovery Limited,DSY.JO,Life Insurance
Distell Group Limited,DST.JO,Beverages
Distribution And Warehousing Network Ld,DAW.JO,Support Services
DRDGOLD Limited,DRD.JO,Mining
E Media Holdings Limited,EMH.JO,Personal Goods
Eastern Platinum Limited,EPS.JO,Industrial Metals & Mining
Echo Polska Properties,EPP.JO,Real Estate Investment & Services
Ecsponent Limited,ECS.JO,Financial Services
Efficient Group Limited,EFG.JO,Financial Services
Efora Energy Limited,EEL.JO,Oil & Gas Producers
ELB Group Limited,ELR.JO,Support Services
Ellies Holdings Limited,ELI.JO,Technology Hardware & Equipment
Emira Property Fund Limited,EMI.JO,Real Estate Investment Trusts
enX Group Limited,ENX.JO,Support Services
EOH Holdings Limited,EOH.JO,Software & Computer Services
EPE Capital Partners Limited (Ethos Capital),EPE.JO,Financial Services
Eqstra Holdings Limited,EQS.JO,Support Services
Equites Property Fund Limited,EQU.JO,Real Estate Investment Trusts
Erin Energy Corporation,ERN.JO,Oil & Gas Producers
Esor Limited,ESR.JO,Construction & Materials
Etion Limited,ETO.JO,Industrial Transportation
Masonite (Africa) Limited,MAS.JO,Forestry & Paper
Evraz Highveld Steel & Vanadium Ltd,EHS.JO,Industrial Metals & Mining
Exemplar REITail Limited,EXP.JO,Real Estate Investment Trusts
Exxaro Resources Limited,EXX.JO,Oil & Gas Producers
Fairvest Property Holdings Limited,FVT.JO,Real Estate Investment & Services
Famous Brands Limited,FBR.JO,Travel & Leisure
Ferrum Crescent Limited,FCR.JO,Industrial Metals & Mining
Finbond Group Limited,FGL.JO,Financial Services
Firestone Energy Limited,FSE.JO,Mining
Firstrand Limited,FSR.JO,Financial Services
Fortress Income Fund Limited,FFB.JO,Real Estate Investment Trusts
Freedom Property Fund Ltd,FDP.JO,Real Estate Investment & Services
GAIA Infrastructure Capital Limited,GAI.JO,Financial Services
Giyani Gold Corporation,GIY.JO,Industrial Metals & Mining
Glencore Plc,GLN.JO,Mining
Global Asset Management Limited,GAM.JO,Financial Services
Globe Trade Centre SA,GTC.JO,Real Estate Investment & Services
Go Life International PCC,GLI.JO,Health Care Equipment & Services
Gold Brands Investments Limited,GBI.JO,Travel & Leisure
Gold Fields Limited,GFI.JO,Mining
Gooderson Leisure Corporation Ltd,GDN.JO,Travel & Leisure
Grand Parade Investments Limited,GPL.JO,Travel & Leisure
Great Basin Gold Limited,GBG.JO,Mining
Grindrod Limited,GND.JO,Industrial Transportation
Grindrod Shipping Holdings Limited,GSH.JO,Industrial Transportation
Grit Real Estate Income Group,GTR.JO,Real Estate Investment Trusts
Group Five Limited,GRF.JO,Construction & Materials
Growthpoint Properties Limited,GRT.JO,Real Estate Investment Trusts
Harmony Gold Mining Company Limited,HAR.JO,Mining
Heriot REIT Limited,HET.JO,Real Estate Investment Trusts
Holdsport Limited,HSP.JO,General Retailers
Homechoice International Plc,HIL.JO,General Retailers
Hosken Consolidated Investments Ltd,HCI.JO,General Industrials
Hosken Passenger Logistics and Rail Limited,HPR.JO,Industrial Transportation
Hospitality Property Fund Limited,HPA.JO,Real Estate Investment Trusts
Howden Africa Holdings Limited,HWN.JO,Industrial Engineering
Hudaco Industries Limited,HDC.JO,Support Services
Huge Group Limited,HUG.JO,Fixed Line Telecommunications
Hulamin Limited,HLM.JO,Industrial Metals & Mining
Hulisani Limited,HUL.JO,#N/A
Hwange Colliery Company Limited,HWA.JO,#N/A
Hyprop Investments Limited,HYP.JO,Real Estate Investment Trusts
Imbalie Beauty Limited,ILE.JO,Personal Goods
Impala Platinum Holdings Limited,IMP.JO,Mining
Imperial Holdings Limited,IPL.JO,General Retailers
Indequity Group Limited,IDQ.JO,Nonlife Insurance
Indluplace Properties Limited,ILU.JO,Real Estate Investment Trusts
Ingenuity Property Investments Ltd,ING.JO,Real Estate Investment & Services
Insimbi Refractory and Alloy Supplies Limited,ISB.JO,Support Services
International Hotel Group Limited,IHL.JO,Real Estate Investment & Services
Interwaste Holdings Limited,IWE.JO,Support Services
Intu Properties Plc,ITU.JO,Real Estate Investment Trusts
Investec Australia Property Fund,IAP.JO,Real Estate Investment Trusts
Investec Limited,INL.JO,Financial Services
Investec Plc,INP.JO,Financial Services
Investec Property Fund Limited,IPF.JO,Real Estate Investment Trusts
Invicta Holdings Limited,IVT.JO,Support Services
IPSA Group Plc,IPS.JO,Construction & Materials
ISA Holdings Limited,ISA.JO,Software & Computer Services
Italtile Limited,ITE.JO,General Retailers
Jasco Electronics Holdings Limited,JSC.JO,Electronic & Electrical Equipment
JSE Limited,JSE.JO,Financial Services
Jubilee Platinum Plc,JBL.JO,Industrial Metals & Mining
Kaap Agri Limited,KAL.JO,Food Producers
KAP Industrial Holdings Limited,KAP.JO,General Industrials
Kaydav Group Limited,KDV.JO,Support Services
Keaton Energy Holdings Limited,KEH.JO,Oil & Gas Producers
Kibo Mining Plc,KBO.JO,Mining
Kore Potash Plc,KP2.JO,Mining
Kumba Iron Ore Limited,KIO.JO,Industrial Metals & Mining
Labat Africa Limited,LAB.JO,Technology Hardware & Equipment
Lewis Group Limited,LEW.JO,General Retailers
Liberty Holdings Limited,LBH.JO,Life Insurance
Liberty Two Degrees,L2D.JO,Real Estate Investment Trusts
Libstar Holdings Limited,LBR.JO,Personal Goods
Life Healthcare Group Holdings Ltd,LHC.JO,Health Care Equipment & Services
Lighthouse Capital Limited,GRP.JO,Financial Services
Lodestone REIT Limited,LDO.JO,Real Estate Investment Trusts
London Finance & Investment Group Plc,LNF.JO,Financial Services
Long4Life Limited,L4L.JO,Financial Services
Lonmin Plc,LON.JO,Industrial Metals & Mining
M-FiTEC International Limited,MFI.JO,Software & Computer Services
Mainland Real Estate Limited,MLD.JO,Real Estate Investment & Services
Marshall Monteagle Plc,MMP.JO,Support Services
MAS Real Estate Inc,MSP.JO,Real Estate Investment & Services
Massmart Holdings Limited,MSM.JO,Food & Drug Retailers
Master Drilling Group Ltd,MDI.JO,Industrial Metals & Mining
Master Plastics Limited,MAP.JO,General Industrials
Mazor Group Limited,MZR.JO,Construction & Materials
MCMining Limited,CZA.JO,Oil & Gas Producers
Mediclinic International Limited,MEI.JO,Health Care Equipment & Services
Merafe Resources Limited,MRF.JO,Industrial Metals & Mining
Metair Investments Limited,MTA.JO,Automobiles & Parts
Metrofile Holdings Limited,MFL.JO,Software & Computer Services
Mettle Investments Limited,MLE.JO,Financial Services
Middle East Diamond Resources Limited,MED.JO,Industrial Metals & Mining
Mine Restoration Investments Ltd,MRI.JO,Support Services
Mix Telematics Limited,MIX.JO,Support Services
MMI Holdings Limited,MMI.JO,Life Insurance
Mondi Limited,MND.JO,Forestry & Paper
Mondi Plc,MNP.JO,General Industrials
Moneyweb Holdings Limited,MNY.JO,Software & Computer Services
Montauk Holdings Limited,MNK.JO,Electricity
Montauk Renewables,MKR.JO,Oil & Gas Producers
Motus Holdings Limited,MTH.JO,Automobiles & Parts
Mpact Limited,MPT.JO,General Industrials
Mr Price Group Limited,MRP.JO,General Retailers
MTN Group Limited,MTN.JO,Mobile Telecommunications
MTN Zakhele Futhi (RF),MTNZF.JO,Financial Services
MultiChoice Group Limited,MCG.JO,Media
Mustek Limited,MST.JO,Technology Hardware & Equipment
Nampak Limited,NPK.JO,General Industrials
Naspers Limited,NPN.JO,Media
Nedbank Group Limited,NED.JO,Banks
NEPI Rockcastle,NRP.JO,Real Estate Investment & Services
Net 1 UEPS Technologies Inc,NT1.JO,Technology Hardware & Equipment
Netcare Limited,NTC.JO,Health Care Equipment & Services
New Frontier Properties Limited,NFP.JO,Real Estate Investment & Services
Newpark REIT Limited,NRL.JO,Real Estate Investment Trusts
Nictus Beperk,NCS.JO,Financial Services
Niveus Investments Ltd,NIV.JO,Financial Services
Northam Platinum Limited,NHM.JO,Mining
Novus Holdings Limited,NVS.JO,Support Services
Nu-World Holdings Limited,NWL.JO,Household Goods & Home Construction
Nutritional Holdings Limited,NUT.JO,Food Producers
NVest Financial Holdings Limited,NVE.JO,Financial Services
Oando Plc,OAO.JO,Oil & Gas Producers
Oasis Crescent Property Fund,OAS.JO,Financial Services
Oceana Group Limited,OCE.JO,Food Producers
Octodec Investments Limited,OCT.JO,Real Estate Investment Trusts
Old Mutual Plc,OML.JO,Insurance
Omnia Holdings Limited,OMN.JO,Chemicals
Onelogix Group Limited,OLG.JO,Industrial Transportation
Orion Minerals NL,ORN.JO,Mining
Orion Real Estate Limited,ORE.JO,Real Estate Investment Trusts
Pallinghurst Resources Limited,PGL.JO,Financial Services
Pan African Resources Plc,PAN.JO,Industrial Metals & Mining
Pembury Lifestyle Group Limited,PEM.JO,Real Estate Investment & Services
Pepkor Holdings Limited,PPH.JO,General Retailers
Peregrine Holdings Limited,PGR.JO,Financial Services
Petmin Limited,PET.JO,Industrial Metals & Mining
Phumelela Gaming & Leisure Limited,PHM.JO,Travel & Leisure
Pick N Pay Holdings Limited,PWK.JO,Food & Drug Retailers
Pick N Pay Stores Limited,PIK.JO,Food & Drug Retailers
Pioneer Food Group Limited,PFG.JO,Food Producers
PPC Limited,PPC.JO,Construction & Materials
Premier Food and Fishing Limited,PFF.JO,Food Producers
Prescient Limited,PCT.JO,Financial Services
Primeserv Group Limited,PMV.JO,Support Services
Prosus,PRX.JO,Media
PSG Group Limited,PSG.JO,Financial Services
PSG Konsult Limited,KST.JO,Financial Services
PSV Holdings Limited,PSV.JO,Industrial Engineering
Purple Group Limited,PPE.JO,Financial Services
Putprop Limited,PPR.JO,Real Estate Investment & Services
Quantum Food Holdings Limited,QFH.JO,Food Producers
Quilter Plc,QLT.JO,Financial Services
Rand Merchant Investment Holdings Limited,RMI.JO,Life Insurance
Randgold & Exploration Company Ltd,RNG.JO,Mining
Rare Holdings Limited,RAR.JO,Support Services
Raubex Group Limited,RBX.JO,Construction & Materials
Raven Property Group Limited,RAV.JO,Real Estate Investment & Services
RCL Foods Limited,RCL.JO,Food Producers
RDI REIT Plc,RPL.JO,Real Estate Investment Trusts
Rebosis Property Fund Limited,REB.JO,Real Estate Investment Trusts
RECM And Calibre Limited,RACP.JO,Financial Services
Redefine Properties Limited,RDF.JO,Real Estate Investment Trusts
Reinet Investments SCA,REI.JO,Financial Services
Remgro Limited,REM.JO,Financial Services
Renergen Limited,REN.JO,Financial Services
Resilient REIT Limited,RES.JO,Real Estate Investment Trusts
Resource Generation Limited,RSG.JO,#N/A
Reunert Limited,RLO.JO,General Industrials
Rex Trueform Clothing Company Ltd,RTO.JO,General Retailers
RH Bophelo Limited,RHB.JO,Health Care Equipment & Services
Rhodes Food Group Holdings Limited,RFG.JO,Food Producers
RMB Holdings Limited,RMH.JO,Financial Services
Rockwell Diamonds Incorporated,RDI.JO,Industrial Metals & Mining
Rolfes Holdings Limited,RLF.JO,Chemicals
Royal Bafokeng Platinum Limited,RBP.JO,Mining
SA Corporate Real Estate Limited,SAC.JO,Real Estate Investment Trusts
Sabvest Limited,SBV.JO,Financial Services
Safari Investments RSA Limited,SAR.JO,Real Estate Investment Trusts
Sanlam Limited,SLM.JO,Life Insurance
Santam Limited,SNT.JO,Nonlife Insurance
Santova Limited,SNV.JO,Industrial Transportation
Sappi Limited,SAP.JO,Forestry & Paper
Sasfin Holdings Limited,SFN.JO,Banks
Sasol Limited,SOL.JO,Oil & Gas Producers
Schroder European Real Estate Investment Trust plc,SCD.JO,Real Estate Investment Trusts
Sebataa Holdings Limited,SEB.JO,Financial Services
Sentula Mining Limited,SNU.JO,Oil & Gas Producers
Sephaku Holdings Limited,SEP.JO,Construction & Materials
Shoprite Holdings Limited,SHP.JO,Food & Drug Retailers
Sibanye-Stillwater Limited,SSW.JO,Mining
Silverbridge Holdings Limited,SVB.JO,Software & Computer Services
Sirius Real Estate Limited,SRE.JO,Real Estate Investment & Services
South Ocean Holdings Limited,SOH.JO,Electronic & Electrical Equipment
South32 Limited,S32.JO,Industrial Metals & Mining
Spanjaard Limited,SPA.JO,Chemicals
Spear REIT Limited,SEA.JO,Real Estate Investment Trusts
Spur Corporation Limited,SUR.JO,Travel & Leisure
Stadio Holdings Limited,SDO.JO,General Retailers
Standard Bank Group Limited,SBK.JO,Banks
Stefanutti Stocks Holdings Ltd,SSK.JO,Construction & Materials
Steinhoff International Holdings Limited,SHF.JO,Personal Goods
Steinhoff International Holdings NV,SNH.JO,Personal Goods
Stellar Capital Partners Limited,SCP.JO,Software & Computer Services
Stenprop Limited,STP.JO,Real Estate Investment & Services
Stor-Age Property REIT Limited,SSS.JO,Real Estate Investment Trusts
StratCorp Limited,STA.JO,Financial Services
Sun International Limited,SUI.JO,Travel & Leisure
Super Group Limited,SPG.JO,General Retailers
Sygnia Limited,SYG.JO,Financial Services
Taste Holdings Limited,TAS.JO,Travel & Leisure
Tawana Resources NL,TAW.JO,Industrial Metals & Mining
Telemasters Holdings Limited,TLM.JO,Fixed Line Telecommunications
Telkom SA SOC Limited,TKG.JO,Fixed Line Telecommunications
Textainer Group Holdings Limited,TXT.JO,Industrial Transportation
Texton Property Fund Limited,TEX.JO,Real Estate Investment Trusts
Tharisa Plc,THA.JO,Mining
The Bidvest Group Limited,BVT.JO,General Industrials
The Foschini Group Limited,TFG.JO,General Retailers
The SPAR Group Limited,SPP.JO,Food & Drug Retailers
The Waterberg Coal Company Limited,WCC.JO,Mining
Tiger Brands Limited,TBS.JO,Food Producers
Tiso Blackstar Group SE,TBG.JO,Financial Services
Tongaat Hulett Limited,TON.JO,Food Producers
Torre Industries Limited,TOR.JO,Support Services
Total Client Services Limited,TCS.JO,Software & Computer Services
Tower Property Fund Limited,TWR.JO,Real Estate Investment Trusts
Tradehold Limited,TDH.JO,Real Estate Investment & Services
Trans Hex Group Limited,TSX.JO,Mining
Transaction Capital Limited,TCP.JO,Financial Services
Transpaco Limited,TPC.JO,General Industrials
Trellidor Holdings Limited,TRL.JO,Construction & Materials
Trematon Capital Investments Ltd,TMT.JO,Financial Services
Trencor Limited,TRE.JO,Industrial Transportation
Trustco Group Holdings Limited,TTO.JO,Financial Services
Truworths International Limited,TRU.JO,General Retailers
Tsogo Sun Holdings Limited,TSH.JO,Travel & Leisure
Tsogo Sun Hotels Limited,TGO.JO,Travel & Leisure
Union Atlantic Minerals Limited,UAT.JO,Industrial Metals & Mining
Universal Partners Limited,UPL.JO,Financial Services
Value Group Limited,VLE.JO,Travel & Leisure
Verimark Holdings Limited,VMK.JO,General Retailers
Visual International Holdings Limited,VIS.JO,Real Estate Investment & Services
Vivo Energy Plc,VVO.JO,Oil & Gas Producers
Vodacom Group Limited,VOD.JO,Mobile Telecommunications
Vukile Property Fund Limited,VKE.JO,Real Estate Investment Trusts
Vunani Limited,VUN.JO,Financial Services
W G Wearne Limited,WEA.JO,Construction & Materials
Wescoal Holdings Limited,WSL.JO,Support Services
Wesizwe Platinum Limited,WEZ.JO,Mining
Wilderness Holdings Limited,WIL.JO,Travel & Leisure
Wilson Bayly Holmes-Ovcon Limited,WBO.JO,Construction & Materials
Winhold Limited,WNH.JO,General Industrials
Woolworths Holdings Limited,WHL.JO,General Retailers
Workforce Holdings Limited,WKF.JO,Support Services
York Timber Holdings Limited,YRK.JO,Forestry & Paper
ZCI Limited,ZCI.JO,Industrial Metals & Mining
Zeder Investments Limited,ZED.JO,Financial Services
